SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Elaboration
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K08,"Strategies to become a smart consumer, including dealing with financial scams","Visiting the Scamwatch website, listing financial scams with a brief description of each and working in small groups to develop a brochure or poster warning people about each scam and how to avoid them"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K08,"Strategies to become a smart consumer, including dealing with financial scams",Exploring ‘smart shopping’ and how to be a ‘smart shopper’
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K08,"Strategies to become a smart consumer, including dealing with financial scams","Visiting the Consumer Affairs Victoria website and listing: safety tips for making a purchase online; instructions about what to do when sold a faulty product; suggestions about what to do when a service is unsatisfactory; the rights a consumer has in relation to refunds, repairs and returns; and/or useful information for consumers of energy products and services"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K08,"Strategies to become a smart consumer, including dealing with financial scams",Visiting the Australian Taxation Office (ATO) website to research and record information and tips for dealing with identity security and scams
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K09,The Australian taxation system and how taxation revenue is used,"Explaining how, when and why young Australians pay tax, and the type of government services provided to them specifically by the Australian Tax Office (ATO) and how to access these"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K09,The Australian taxation system and how taxation revenue is used,"Identifying the rights and responsibilities of individuals and taxation by asking questions such as, ‘When should I apply for a tax file number?’, ‘How is income tax calculated?’, ‘What should I do when an employer is not deducting the right amount of tax?’ and ‘How do I lodge a tax return?’"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K09,The Australian taxation system and how taxation revenue is used,"Visiting the ATO website, applying for a tax file number online, creating a myGov account and linking it to the ATO and learning how to lodge a tax return"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K09,The Australian taxation system and how taxation revenue is used,Calculating the amount of income tax payable on different levels of income using the ATO website
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K10,"Financial planning, including budgeting and achieving personal financial objectives","Working through the steps for taking out a loan, opening a bank account and purchasing shares or making a major purchase, such as a car or house"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K10,"Financial planning, including budgeting and achieving personal financial objectives","Developing personal financial goals to be achieved over a 12-month, 5-year and 10-year period, and then listing strategies to achieve each goal"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K10,"Financial planning, including budgeting and achieving personal financial objectives","Visiting the Moneysmart website to complete online activities about banking and budgeting, loans, credit and debt, and investment and planning"
HASS,Economics and Business,Levels 7 and 8,Skills,Investigating,VC2HE8S01,"Develop and apply questions to investigate contemporary economic, business, work or financial issues and systems","Developing and using a range of questions to form the basis of an investigation, for example ‘How can a business owner recognise and take advantage of a market opportunity?’ and ‘What are the legal and ethical rights and responsibilities of Australian consumers?’"
HASS,Economics and Business,Levels 7 and 8,Skills,Investigating,VC2HE8S01,"Develop and apply questions to investigate contemporary economic, business, work or financial issues and systems","Developing targeted or key questions using economics and business concepts and terms, for example ‘How does the price mechanism determine the price of goods and services?’ and ‘How do fluctuating levels of demand and supply affect the price of specific goods and services?’"
HASS,Economics and Business,Levels 7 and 8,Skills,Investigating,VC2HE8S02,"Locate, select and organise relevant data and information from a range of sources","Collecting data from different sources about an economics or business issue, such as price rises for a group of products or property prices between different areas or periods of time, and then presenting the different data sources in a table, identifying patterns and/or differences and drawing relevant conclusions from this data"
HASS,Economics and Business,Levels 7 and 8,Skills,Investigating,VC2HE8S02,"Locate, select and organise relevant data and information from a range of sources","Comparing data or information about an economics and business issue from different sources, such as official inflation rates compared to their personal experience of price rises, and presenting this in a table to highlight the differences and similarities between each data set"
HASS,Economics and Business,Levels 7 and 8,Skills,Interpreting and analysing data and information,VC2HE8S03,"Construct, interpret and draw conclusions from graphs, models and text to identify and describe economic and business issues, trends and cause-and-effect relationships","Constructing graphs and tables from economic data to identify trends and answer questions such as, ‘What is the trend in housing prices in one area compared to another?’ and ‘What are possible reasons for any differences in trends in housing prices between different areas?’"
HASS,Economics and Business,Levels 7 and 8,Skills,Interpreting and analysing data and information,VC2HE8S03,"Construct, interpret and draw conclusions from graphs, models and text to identify and describe economic and business issues, trends and cause-and-effect relationships","Interpreting multi-variable data to identify a cause-and-effect relationship within an economics and business issue, such as the relationship between income earned and taxation paid, or predicting the future of a job based on data and research findings"
HASS,Economics and Business,Levels 7 and 8,Skills,Interpreting and analysing data and information,VC2HE8S03,"Construct, interpret and draw conclusions from graphs, models and text to identify and describe economic and business issues, trends and cause-and-effect relationships","Interpreting data presented in tables and graphs to identify trends and answer questions such as, ‘For a 10-year period, what is the trend in the amount of money lost by Australians to financial scams?’"
HASS,Economics and Business,Levels 7 and 8,Skills,Interpreting and analysing data and information,VC2HE8S04,Analyse and verify sources of data and information,Noting and checking the source of economics and business data and information and making an informed judgement about the accuracy of the data and information
HASS,Economics and Business,Levels 7 and 8,Skills,Interpreting and analysing data and information,VC2HE8S04,Analyse and verify sources of data and information,Selecting and referencing ideas and viewpoints from a range of sources and evaluating the legitimacy of the sources
HASS,Economics and Business,Levels 7 and 8,Skills,"Evaluating, concluding and decision-making",VC2HE8S05,"Analyse a response to an economic, business, work or financial issue, identifying potential costs and benefits","Developing a response to an issue by combining existing knowledge with new ideas; for example, using a personal budget and savings plan combined with knowledge about smart shopping to decide whether or not to purchase a specific product"
HASS,Economics and Business,Levels 7 and 8,Skills,"Evaluating, concluding and decision-making",VC2HE8S05,"Analyse a response to an economic, business, work or financial issue, identifying potential costs and benefits","Identifying the potential costs and benefits of an economic decision based on an interpretation of collected data, for example whether it is more worthwhile to work on a casual part-time basis or a permanent part-time basis"
HASS,Economics and Business,Levels 7 and 8,Skills,"Evaluating, concluding and decision-making",VC2HE8S05,"Analyse a response to an economic, business, work or financial issue, identifying potential costs and benefits","Identifying and describing reasons that inform the response to an economic or business issue, for example the reasons for using recycled materials in packaging to support sustainability"
HASS,Economics and Business,Levels 7 and 8,Skills,Communicating,VC2HE8S06,"Create and present descriptions and explanations, using subject-specific knowledge and terminology, with reference to sources","Developing a relevant response to an issue that makes the issue clear to the audience using subject-specific knowledge and terminology, such as markets, business, consumer, taxation and financial planning"
HASS,Economics and Business,Levels 7 and 8,Skills,Communicating,VC2HE8S06,"Create and present descriptions and explanations, using subject-specific knowledge and terminology, with reference to sources",Creating and presenting a description or explanation using data or information presented in appropriate formats to demonstrate understanding of economics and business knowledge using subject-specific terminology
HASS,Economics and Business,Levels 7 and 8,Skills,Communicating,VC2HE8S06,"Create and present descriptions and explanations, using subject-specific knowledge and terminology, with reference to sources",Completing a cloze exercise by inserting the correct economics or business term into a text
HASS,Economics and Business,Levels 7 and 8,Skills,Communicating,VC2HE8S06,"Create and present descriptions and explanations, using subject-specific knowledge and terminology, with reference to sources","Developing a word puzzle, such as a crossword or a quiz, based on economics and business terminology and related knowledge"
