Subject,Band,SkillArea,ComponentText,Keywords
Mathematics,FC,Statistics and Probability,They compare collections to identify ‘more’ and ‘less’.,"they,compare,collections,identify,more,less"
Mathematics,FC,Number and Computation,They communicate the number names from zero to at least 5 using stable number order.,"they,communicate,number,names,zero,least,using,stable,order"
Mathematics,FC,Statistics and Probability,They partition and combine collections up to 5 in different ways.,"they,partition,combine,collections,different,ways"
Mathematics,FC,Statistics and Probability,"Students represent practical situations that involve quantifying and adding, taking away one from a collection up to 5 and equal sharing of a collection.","students,represent,practical,situations,involve,quantifying,adding,taking,away,collection,equal,sharing"
Mathematics,FC,Algebra and Patterns,Students copy simple repeating patterns.,"students,copy,simple,repeating,patterns"
Mathematics,FC,Measurement,"Students identify the attributes of mass, capacity and length, using direct comparison, in practical situations.","students,identify,attributes,mass,capacity,length,using,direct,comparison,practical,situations"
Mathematics,FC,Measurement,They connect familiar events to times of the day.,"they,connect,familiar,events,times"
Mathematics,FC,Space and Geometry,"Students name, match and sort familiar shapes and objects based on a single attribute.","students,name,match,sort,familiar,shapes,objects,based,single,attribute"
Mathematics,FC,Space and Geometry,They describe the location of an object or person in a familiar environment. They follow simple movement instructions.,"they,describe,location,object,person,familiar,environment"
Mathematics,FC,Statistics and Probability,Students compare data collected in response to questions in familiar contexts.,"students,compare,data,collected,response,questions,familiar,contexts"
Mathematics,FD,Number and Computation,"By the end of Foundation Level D, students make connections between number names, numerals and position in the sequence of numbers from zero to at least 10.","foundation,level,students,make,connections,between,number,names,numerals,position,sequence,numbers,zero,least"
Mathematics,FD,Number and Computation,They use counting strategies to quantify collections to at least 10 and subitise to quantify collections to 4.,"they,counting,strategies,quantify,collections,least,subitise"
Mathematics,FD,Statistics and Probability,Students compare the size of collections to at least 10.,"students,compare,size,collections,least"
Mathematics,FD,Statistics and Probability,They partition and combine collections up to 10 in different ways.,"they,partition,combine,collections,different,ways"
Mathematics,FD,Statistics and Probability,"Students represent practical situations that involve quantifying, equal sharing between 2, and adding and taking away one from a collection up to 10.","students,represent,practical,situations,involve,quantifying,equal,sharing,between,adding,taking,away,collection"
Mathematics,FD,Algebra and Patterns,Students copy and continue simple repeating patterns.,"students,copy,continue,simple,repeating,patterns"
Mathematics,FD,Number and Computation,"Students identify the attributes of mass, capacity, length and duration using direct comparison in practical situations.","students,identify,attributes,mass,capacity,length,duration,using,direct,comparison,practical,situations"
Mathematics,FD,Measurement,They order and connect familiar events to times of the day.,"they,order,connect,familiar,events,times"
Mathematics,FD,Space and Geometry,"Students name, create and sort familiar shapes and objects into like groups and identify familiar shapes in their environment.","students,name,create,sort,familiar,shapes,objects,into,like,groups,identify,their,environment"
Mathematics,FD,Space and Geometry,They describe the position and the location of objects or people in relation to themselves in a familiar space.,"they,describe,position,location,objects,people,relation,themselves,familiar,space"
Mathematics,FD,Statistics and Probability,Students sort and compare data collected in response to questions in familiar contexts.,"students,sort,compare,data,collected,response,questions,familiar,contexts"
Mathematics,F,Number and Computation,"By the end of Foundation, students make connections between number names, numerals and position in the sequence of numbers from zero to at least 20.","foundation,students,make,connections,between,number,names,numerals,position,sequence,numbers,zero,least"
Mathematics,F,Number and Computation,They use subitising and counting strategies to quantify collections.,"they,subitising,counting,strategies,quantify,collections"
Mathematics,F,Statistics and Probability,Students compare the size of collections to at least 20.,"students,compare,size,collections,least"
Mathematics,F,Number and Computation,"They partition and combine collections up to 10 in different ways, representing these with numbers.","they,partition,combine,collections,different,ways,representing,numbers"
Mathematics,F,Statistics and Probability,"Students represent practical situations, including simple financial situations involving money, that involve quantifying, equal sharing, adding to and taking away from collections to at least 10.","students,represent,practical,situations,including,simple,financial,involving,money,involve,quantifying,equal,sharing,adding,taking"
Mathematics,F,Algebra and Patterns,"Students represent, continue and create simple repeating patterns.","students,represent,continue,create,simple,repeating,patterns"
Mathematics,F,Number and Computation,"Students identify the attributes of mass, capacity, length and duration, and use direct comparison strategies to compare objects and events.","students,identify,attributes,mass,capacity,length,duration,direct,comparison,strategies,compare,objects,events"
Mathematics,F,Algebra and Patterns,They sequence and connect familiar events to the time of day.,"they,sequence,connect,familiar,events,time"
Mathematics,F,Space and Geometry,"Students name, create and sort familiar shapes and give their reasoning.","students,name,create,sort,familiar,shapes,give,their,reasoning"
Mathematics,F,Space and Geometry,They describe the position and the location of themselves and objects in relation to other objects and people within a familiar space.,"they,describe,position,location,themselves,objects,relation,other,people,within,familiar,space"
Mathematics,F,Statistics and Probability,"Students collect, sort and compare data in response to questions in familiar contexts.","students,collect,sort,compare,data,response,questions,familiar,contexts"
Mathematics,1,Number and Computation,"By the end of Level 1, students connect number names, numerals and quantities, and order numbers to at least 120.","level,students,connect,number,names,numerals,quantities,order,numbers,least"
Mathematics,1,Number and Computation,They demonstrate how one- and two-digit numbers can be partitioned in different ways and that two-digit numbers can be partitioned into tens and ones.,"they,demonstrate,digit,numbers,partitioned,different,ways,into,tens,ones"
Mathematics,1,Number and Computation,"Students partition collections into equal groups and skip count in twos, fives or tens to quantify collections to at least 120.","students,partition,collections,into,equal,groups,skip,count,twos,fives,tens,quantify,least"
Mathematics,1,Number and Computation,"They solve problems involving addition and subtraction of numbers to 20 and use mathematical modelling to solve practical problems involving addition, subtraction, equal sharing and grouping, using calculation strategies.","they,solve,problems,involving,addition,subtraction,numbers,mathematical,modelling,practical,equal,sharing,grouping,using,calculation"
Mathematics,1,Number and Computation,"Students use numbers, symbols and objects, including Australian coins, to create skip counting and repeating patterns, identifying the repeating unit.","students,numbers,symbols,objects,including,australian,coins,create,skip,counting,repeating,patterns,identifying,unit"
Mathematics,1,Number and Computation,"Students compare and order objects and events based on the attributes of length, mass, capacity and duration, communicating their reasoning.","students,compare,order,objects,events,based,attributes,length,mass,capacity,duration,communicating,their,reasoning"
Mathematics,1,Measurement,They measure the length of shapes and objects using uniform informal units.,"they,measure,length,shapes,objects,using,uniform,informal,units"
Mathematics,1,Space and Geometry,"Students make, compare and classify shapes and objects using identifiable features.","students,make,compare,classify,shapes,objects,using,identifiable,features"
Mathematics,1,Space and Geometry,They give and follow directions to move people and objects within a space.,"they,give,follow,directions,move,people,objects,within,space"
Mathematics,1,Statistics and Probability,"Students collect and record categorical data, create one-to-one displays, and compare and discuss the data using frequencies.","students,collect,record,categorical,data,create,displays,compare,discuss,using,frequencies"
Mathematics,2,Number and Computation,"By the end of Level 2, students order and represent numbers to at least 1000","level,students,order,represent,numbers,least,apply,knowledge,place,value,partition,rearrange,rename,three,digit"
Mathematics,2,Number and Computation,"Apply knowledge of place value to partition, rearrange and rename two- and three-digit numbers in terms of their parts; and regroup partitioned numbers to assist in calculations.","level,students,order,represent,numbers,least,apply,knowledge,place,value,partition,rearrange,rename,three,digit"
Mathematics,2,Statistics and Probability,"They use mathematical modelling to solve practical additive and multiplicative problems, including money transactions, representing the situation and choosing calculation strategies.","they,mathematical,modelling,solve,practical,additive,multiplicative,problems,including,money,transactions,representing,situation,choosing,calculation"
Mathematics,2,Algebra and Patterns,"Students identify and represent part-whole relationships of halves, quarters and eighths in measurement contexts.","students,identify,represent,part,whole,relationships,halves,quarters,eighths,measurement,contexts"
Mathematics,2,Algebra and Patterns,Students describe and continue patterns that increase and decrease additively by a constant amount and identify missing elements in the pattern.,"students,describe,continue,patterns,increase,decrease,additively,constant,amount,identify,missing,elements,pattern"
Mathematics,2,Number and Computation,They recall and demonstrate proficiency with addition and subtraction facts within 20 and multiplication facts for twos.,"they,recall,demonstrate,proficiency,addition,subtraction,facts,within,multiplication,twos"
Mathematics,2,Measurement,Students use uniform informal units to measure and compare shapes and objects.,"students,uniform,informal,units,measure,compare,shapes,objects"
Mathematics,2,Number and Computation,"They determine the number of days between events using a calendar and read time on an analog clock to the hour, half-hour and quarter hour.","they,determine,number,days,between,events,using,calendar,read,time,analog,clock,hour,half,quarter"
Mathematics,2,Measurement,"Students use quarter, half, three-quarter and full measures of turn in everyday situations.","students,quarter,half,three,full,measures,turn,everyday,situations"
Mathematics,2,Space and Geometry,"Students compare and classify shapes, describing features using formal spatial terms.","students,compare,classify,shapes,describing,features,using,formal,spatial,terms"
Mathematics,2,Space and Geometry,They locate and identify positions of features in two-dimensional representations and move position by following directions and pathways.,"they,locate,identify,positions,features,dimensional,representations,move,position,following,directions,pathways"
Mathematics,2,Statistics and Probability,"Students use a range of methods to collect, record, represent and interpret categorical data in response to questions.","students,range,methods,collect,record,represent,interpret,categorical,data,response,questions"
Mathematics,3,Number and Computation,"By the end of Level 3, students order and represent natural numbers beyond 10 000, classify numbers as either odd or even, and use the properties of odd and even numbers.","level,students,order,represent,natural,numbers,beyond,classify,either,even,properties"
Mathematics,3,Number and Computation,"They partition, rearrange and regroup two- and three-digit numbers in different ways to assist in calculations.","they,partition,rearrange,regroup,three,digit,numbers,different,ways,assist,calculations"
Mathematics,3,Number and Computation,Students extend and use single-digit addition and related subtraction facts and apply additive strategies to model and solve problems involving two- and three-digit numbers.,"students,extend,single,digit,addition,related,subtraction,facts,apply,additive,strategies,model,solve,problems,involving"
Mathematics,3,Number and Computation,"They use a range of strategies to apply mathematical modelling to solve practical problems involving single-digit multiplication and division, recalling multiplication facts for twos, threes, fours, fives and tens.","they,range,strategies,apply,mathematical,modelling,solve,practical,problems,involving,single,digit,multiplication,division,recalling"
Mathematics,3,Number and Computation,Students represent unit fractions and their multiples in different ways.,"students,represent,unit,fractions,their,multiples,different,ways"
Mathematics,3,Mathematical Reasoning,They represent money values in different ways.,"they,represent,money,values,different,ways"
Mathematics,3,Mathematical Reasoning,They make estimates and determine the reasonableness of financial and other calculations.,"they,make,estimates,determine,reasonableness,financial,other,calculations"
Mathematics,3,Number and Computation,Students find unknown values in number sentences involving addition and subtraction.,"students,find,unknown,values,number,sentences,involving,addition,subtraction"
Mathematics,3,Number and Computation,They create algorithms to investigate numbers and explore simple patterns.,"they,create,algorithms,investigate,numbers,explore,simple,patterns"
Mathematics,3,Measurement,"Students use familiar metric units when estimating, comparing and measuring the attributes of objects and events.","students,familiar,metric,units,when,estimating,comparing,measuring,attributes,objects,events"
Mathematics,3,Measurement,They identify angles as measures of turn and compare them to right angles.,"they,identify,angles,measures,turn,compare,them,right"
Mathematics,3,Number and Computation,Students estimate and compare measures of duration using formal units of time.,"students,estimate,compare,measures,duration,using,formal,units,time"
Mathematics,3,Mathematical Reasoning,"Students make, compare and classify objects using key features.","students,make,compare,classify,objects,using,features"
Mathematics,3,Space and Geometry,They interpret and create two-dimensional representations of familiar environments.,"they,interpret,create,dimensional,representations,familiar,environments"
Mathematics,3,Statistics and Probability,Students conduct guided statistical investigations involving categorical and discrete numerical data and interpret their results in terms of the context.,"students,conduct,guided,statistical,investigations,involving,categorical,discrete,numerical,data,interpret,their,results,terms,context"
Mathematics,3,Statistics and Probability,"They record, represent and compare data they have collected.","they,record,represent,compare,data,collected"
Mathematics,3,Statistics and Probability,"Students use practical activities, observation or experiment to identify and describe outcomes and the likelihood of everyday events explaining reasoning.","students,practical,activities,observation,experiment,identify,describe,outcomes,likelihood,everyday,events,explaining,reasoning"
Mathematics,3,Statistics and Probability,Students conduct repeated chance experiments and discuss variation in results.,"students,conduct,repeated,chance,experiments,discuss,variation,results"
Mathematics,4,Number and Computation,"By the end of Level 4, students use their understanding of place value to represent tenths and hundredths in decimal form and to multiply natural numbers by multiples of 10.","level,students,their,understanding,place,value,represent,tenths,hundredths,decimal,form,multiply,natural,numbers,multiples"
Mathematics,4,Number and Computation,"Students use mathematical modelling to solve financial and other practical problems, formulating the problem using number sentences, solving the problem choosing efficient strategies and interpreting the results in terms of the situation.","students,mathematical,modelling,solve,financial,other,practical,problems,formulating,problem,using,number,sentences,solving,choosing"
Mathematics,4,Number and Computation,"They use their proficiency with addition, subtraction, multiplication facts for tens (× 10) and related division facts to perform arithmetic operations to add and subtract, and multiply and divide numbers efficiently.","they,their,proficiency,addition,subtraction,multiplication,facts,tens,related,division,perform,arithmetic,operations,subtract,multiply"
Mathematics,4,Mathematical Reasoning,They choose rounding and estimation strategies to determine whether results of calculations are reasonable.,"they,choose,rounding,estimation,strategies,determine,whether,results,calculations,reasonable"
Mathematics,4,Number and Computation,They recognise common equivalent fractions in familiar contexts and make connections between fraction and decimal notations.,"they,recognise,common,equivalent,fractions,familiar,contexts,make,connections,between,fraction,decimal,notations"
Mathematics,4,Number and Computation,Students count and represent familiar fractions on a number line.,"students,count,represent,familiar,fractions,number,line"
Mathematics,4,Number and Computation,Students find unknown values in numerical equations involving addition and subtraction.,"students,find,unknown,values,numerical,equations,involving,addition,subtraction"
Mathematics,4,Number and Computation,They follow and create algorithms that generate sets of numbers and identify emerging patterns.,"they,follow,create,algorithms,generate,sets,numbers,identify,emerging,patterns"
Mathematics,4,Measurement,"Students use appropriate scaled instruments and appropriate units to measure length, mass, capacity and temperature.","students,appropriate,scaled,instruments,units,measure,length,mass,capacity,temperature"
Mathematics,4,Measurement,They measure and approximate perimeters and areas for regular and irregular shapes.,"they,measure,approximate,perimeters,areas,regular,irregular,shapes"
Mathematics,4,Number and Computation,They convert between units of time when solving problems involving duration.,"they,convert,between,units,time,when,solving,problems,involving,duration"
Mathematics,4,Space and Geometry,Students compare angles relative to a right angle using angle names.,"students,compare,angles,relative,right,angle,using,names"
Mathematics,4,Space and Geometry,Students represent and approximate shapes and objects from their environment.,"students,represent,approximate,shapes,objects,their,environment"
Mathematics,4,Statistics and Probability,Students create and interpret grid references.,"students,create,interpret,grid,references"
Mathematics,4,Algebra and Patterns,They identify line and rotational symmetry in plane shapes and create symmetrical patterns.,"they,identify,line,rotational,symmetry,plane,shapes,create,symmetrical,patterns"
Mathematics,4,Space and Geometry,"Students create many-to-one data displays, assess the suitability of displays for representing data and informally discuss the shape of distributions and variation in data.","students,create,many,data,displays,assess,suitability,representing,informally,discuss,shape,distributions,variation"
Mathematics,4,Number and Computation,They use surveys and digital tools to generate categorical or discrete numerical data in statistical investigations and communicate their findings in context.,"they,surveys,digital,tools,generate,categorical,discrete,numerical,data,statistical,investigations,communicate,their,findings,context"
Mathematics,4,Statistics and Probability,Students order events or the outcomes of chance experiments in terms of likelihood and identify whether events are independent or dependent.,"students,order,events,outcomes,chance,experiments,terms,likelihood,identify,whether,independent,dependent"
Mathematics,4,Statistics and Probability,They conduct repeated chance experiments and describe the variation in results.,"they,conduct,repeated,chance,experiments,describe,variation,results"
Mathematics,5,Number and Computation,"By the end of Level 5, students use place value to write and order decimals including decimals greater than one.","level,students,place,value,write,order,decimals,including,greater,than"
Mathematics,5,Number and Computation,They express natural numbers as products of factors and identify multiples and divisors.,"they,express,natural,numbers,products,factors,identify,multiples,divisors"
Mathematics,5,Number and Computation,"Students order and represent, add and subtract fractions with the same or related denominators.","students,order,represent,subtract,fractions,same,related,denominators"
Mathematics,5,Number and Computation,They represent common percentages and connect them to their fraction and decimal equivalents.,"they,represent,common,percentages,connect,them,their,fraction,decimal,equivalents"
Mathematics,5,Number and Computation,Students use their proficiency with multiplication facts and efficient mental and written calculation strategies to multiply large numbers by one- and two-digit numbers and divide by one-digit numbers.,"students,their,proficiency,multiplication,facts,efficient,mental,written,calculation,strategies,multiply,large,numbers,digit,divide"
Mathematics,5,Mathematical Reasoning,They check the reasonableness of their calculations using estimation.,"they,check,reasonableness,their,calculations,using,estimation"
Mathematics,5,Number and Computation,"Students use mathematical modelling to solve financial and other practical problems, formulating and solving problems, choosing arithmetic operations and interpreting results in terms of the situation.","students,mathematical,modelling,solve,financial,other,practical,problems,formulating,solving,choosing,arithmetic,operations,interpreting,results"
Mathematics,5,Number and Computation,Students apply properties of numbers and operations to find unknown values in numerical equations involving multiplication and division.,"students,apply,properties,numbers,operations,find,unknown,values,numerical,equations,involving,multiplication,division"
Mathematics,5,Number and Computation,They design and use algorithms to identify and explain patterns in the factors and multiples of numbers.,"they,design,algorithms,identify,explain,patterns,factors,multiples,numbers"
Mathematics,5,Measurement,"Students choose and use appropriate metric units to measure the attributes of length, mass and capacity, and to solve problems involving perimeter and area.","students,choose,appropriate,metric,units,measure,attributes,length,mass,capacity,solve,problems,involving,perimeter,area"
Mathematics,5,Measurement,Students convert between 12- and 24-hour time.,"students,convert,between,hour,time"
Mathematics,5,Measurement,"They estimate, construct and measure angles in degrees.","they,estimate,construct,measure,angles,degrees"
Mathematics,5,Space and Geometry,Students connect objects to their two-dimensional nets.,"students,connect,objects,their,dimensional,nets"
Mathematics,5,Algebra and Patterns,Students use grid coordinates to locate and move positions.,"students,grid,coordinates,locate,move,positions"
Mathematics,5,Space and Geometry,They perform and describe the results of transformations and identify any symmetries.,"they,perform,describe,results,transformations,identify,symmetries"
Mathematics,5,Number and Computation,Students plan and conduct statistical investigations that collect nominal and ordinal categorical and discrete numerical data with and without digital tools.,"students,plan,conduct,statistical,investigations,collect,nominal,ordinal,categorical,discrete,numerical,data,without,digital,tools"
Mathematics,5,Space and Geometry,Students identify the mode and interpret the shape of distributions of data in context.,"students,identify,mode,interpret,shape,distributions,data,context"
Mathematics,5,Algebra and Patterns,They interpret and compare data represented in line graphs.,"they,interpret,compare,data,represented,line,graphs"
Mathematics,5,Statistics and Probability,"Students conduct repeated chance experiments, list the possible outcomes, estimate likelihoods and make comparisons between those with and without equally likely outcomes.","students,conduct,repeated,chance,experiments,list,possible,outcomes,estimate,likelihoods,make,comparisons,between,without,equally"
Mathematics,6,Number and Computation,"By the end of Level 6, students use integers to represent points on a number line and on the Cartesian plane.","level,students,integers,represent,points,number,line,cartesian,plane"
Mathematics,6,Number and Computation,"They solve problems using the properties of prime, composite, square and triangular numbers.","they,solve,problems,using,properties,prime,composite,square,triangular,numbers"
Mathematics,6,Number and Computation,"Students order common fractions, giving reasons, and add and subtract fractions with related denominators.","students,order,common,fractions,giving,reasons,subtract,related,denominators"
Mathematics,6,Number and Computation,They use all 4 operations with decimals and connect decimal representations of measurements to the metric system.,"they,operations,decimals,connect,decimal,representations,measurements,metric,system"
Mathematics,6,Number and Computation,"Students solve problems involving finding a fraction, decimal or percentage of a quantity and use estimation to find approximate solutions to problems involving rational numbers and percentages.","students,solve,problems,involving,finding,fraction,decimal,percentage,quantity,estimation,find,approximate,solutions,rational,numbers"
Mathematics,6,Number and Computation,"They use mathematical modelling to solve financial and other practical problems involving percentages and rational numbers, formulating and solving the problem, and justifying choices.","they,mathematical,modelling,solve,financial,other,practical,problems,involving,percentages,rational,numbers,formulating,solving,problem"
Mathematics,6,Number and Computation,Students find unknown values in numerical equations involving combinations of arithmetic operations.,"students,find,unknown,values,numerical,equations,involving,combinations,arithmetic,operations"
Mathematics,6,Algebra and Patterns,They identify and explain rules used to create growing patterns.,"they,identify,explain,rules,used,create,growing,patterns"
Mathematics,6,Number and Computation,"They design and use algorithms to generate sets of numbers, using a rule.","they,design,algorithms,generate,sets,numbers,using,rule"
Mathematics,6,Measurement,"Students interpret and use timetables, and measure, calculate and compare elapsed time.","students,interpret,timetables,measure,calculate,compare,elapsed,time"
Mathematics,6,Measurement,"They convert between common units of length, mass and capacity.","they,convert,between,common,units,length,mass,capacity"
Mathematics,6,Algebra and Patterns,They use the formula for the area of a rectangle and angle properties to solve problems.,"they,formula,area,rectangle,angle,properties,solve,problems"
Mathematics,6,Space and Geometry,Students identify the parallel cross-section for right prisms.,"students,identify,parallel,cross,section,right,prisms"
Mathematics,6,Algebra and Patterns,They create tessellating patterns using combinations of transformations.,"they,create,tessellating,patterns,using,combinations,transformations"
Mathematics,6,Mathematical Reasoning,They locate an ordered pair in any one of the 4 quadrants on the Cartesian plane.,"they,locate,ordered,pair,quadrants,cartesian,plane"
Mathematics,6,Number and Computation,"Students compare distributions of discrete and continuous numerical and ordinal categorical data sets as part of their statistical investigations, using digital tools.","students,compare,distributions,discrete,continuous,numerical,ordinal,categorical,data,sets,part,their,statistical,investigations,using"
Mathematics,6,Statistics and Probability,They critique arguments presented in the media based on statistics.,"they,critique,arguments,presented,media,based,statistics"
Mathematics,6,Number and Computation,"Students assign probabilities using common fractions, decimals and percentages.","students,assign,probabilities,using,common,fractions,decimals,percentages"
Mathematics,6,Number and Computation,"They conduct simulations using digital tools, to generate and record the outcomes from many trials of a chance experiment. They compare observed frequencies to the expected frequencies of the outcomes of chance experiments.","they,conduct,simulations,using,digital,tools,generate,record,outcomes,many,trials,chance,experiment"
Mathematics,7,Number and Computation,"By the end of Level 7, students represent natural numbers in expanded form and as products of prime factors, using exponent notation.","level,students,represent,natural,numbers,expanded,form,products,prime,factors,using,exponent,notation"
Mathematics,7,Number and Computation,They solve problems involving squares of numbers and square roots of perfect square numbers.,"they,solve,problems,involving,squares,numbers,square,roots,perfect"
Mathematics,7,Number and Computation,Students solve problems involving addition and subtraction of integers.,"students,solve,problems,involving,addition,subtraction,integers"
Mathematics,7,Number and Computation,"They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient mental and written calculation strategies.","they,operations,calculations,involving,positive,fractions,decimals,choosing,efficient,mental,written,calculation,strategies"
Mathematics,7,Number and Computation,Students choose between equivalent representations of rational numbers and percentages to assist in calculations and make simple estimates to judge the reasonableness of results.,"students,choose,between,equivalent,representations,rational,numbers,percentages,assist,calculations,make,simple,estimates,judge,reasonableness"
Mathematics,7,Number and Computation,"They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation.","they,mathematical,modelling,solve,practical,problems,involving,rational,numbers,percentages,ratios,spatial,financial,other,applied"
Mathematics,7,Algebra and Patterns,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.","students,algebraic,expressions,represent,situations,describe,relationships,between,variables,authentic,data,substitute,values,into,formulas"
Mathematics,7,Number and Computation,They solve linear equations with natural number solutions and verify their solutions through substitution.,"they,solve,linear,equations,natural,number,solutions,verify,their,through,substitution"
Mathematics,7,Algebra and Patterns,"Students create tables of values relating to algebraic expressions and formulas, and describe how the values change.","students,create,tables,values,relating,algebraic,expressions,formulas,describe,change"
Mathematics,7,Algebra and Patterns,"Students apply knowledge of angle relationships and the sum of angles in a triangle to solve problems, giving reasons.","students,apply,knowledge,angle,relationships,angles,triangle,solve,problems,giving,reasons"
Mathematics,7,Algebra and Patterns,They establish and use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems.,"they,establish,formulas,areas,triangles,parallelograms,volumes,rectangular,triangular,prisms,solve,problems"
Mathematics,7,Algebra and Patterns,"They describe the relationships between the radius, diameter and circumference of a circle.","they,describe,relationships,between,radius,diameter,circumference,circle"
Mathematics,7,Space and Geometry,Students classify polygons according to their features and design an algorithm to sort and classify shapes.,"students,classify,polygons,according,their,features,design,algorithm,sort,shapes"
Mathematics,7,Space and Geometry,"They represent objects two-dimensionally in different ways, describing the usefulness of these representations.","they,represent,objects,dimensionally,different,ways,describing,usefulness,representations"
Mathematics,7,Algebra and Patterns,They use coordinates to describe transformations of points in the plane.,"they,coordinates,describe,transformations,points,plane"
Mathematics,7,Statistics and Probability,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.","students,plan,conduct,statistical,investigations,involving,discrete,continuous,numerical,data,using,appropriate,displays"
Mathematics,7,Space and Geometry,"They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers.","they,interpret,data,terms,shape,distribution,summary,statistics,identifying,possible,outliers"
Mathematics,7,Measurement,They decide which measure of central tendency is most suitable and explain their reasoning.,"they,decide,which,measure,central,tendency,most,suitable,explain,their,reasoning"
Mathematics,7,Space and Geometry,"Students list sample spaces for single-step experiments, assign probabilities to outcomes of events and predict relative frequencies for related events.","students,list,sample,spaces,single,step,experiments,assign,probabilities,outcomes,events,predict,relative,frequencies,related"
Mathematics,7,Number and Computation,"They conduct repeated single-step chance experiments and run simulations using digital tools, giving reasons for differences between predicted and observed results.","they,conduct,repeated,single,step,chance,experiments,simulations,using,digital,tools,giving,reasons,differences,between"
Mathematics,8,Number and Computation,"By the end of Level 8, students recognise irrational numbers as numbers that cannot develop from the division of integer values by natural numbers and terminating or recurring decimals.","level,students,recognise,irrational,numbers,cannot,develop,division,integer,values,natural,terminating,recurring,decimals"
Mathematics,8,Number and Computation,They apply the exponent laws to calculations with numbers involving positive integer exponents.,"they,apply,exponent,laws,calculations,numbers,involving,positive,integer,exponents"
Mathematics,8,Number and Computation,Students solve problems involving the 4 operations with integers and positive rational numbers.,"students,solve,problems,involving,operations,integers,positive,rational,numbers"
Mathematics,8,Number and Computation,"They use mathematical modelling to solve practical problems involving ratios, percentages and rates in measurement and financial contexts.","they,mathematical,modelling,solve,practical,problems,involving,ratios,percentages,rates,measurement,financial,contexts"
Mathematics,8,Algebra and Patterns,"Students apply algebraic properties to simplify, rearrange, expand and factorise linear expressions.","students,apply,algebraic,properties,simplify,rearrange,expand,factorise,linear,expressions"
Mathematics,8,Number and Computation,"They graph linear relations and solve linear equations with rational solutions and one-variable inequalities, graphically and algebraically.","they,graph,linear,relations,solve,equations,rational,solutions,variable,inequalities,graphically,algebraically"
Mathematics,8,Number and Computation,"Students plot linear and non-linear relations on the Cartesian plane, with and without the use of digital tools.","students,plot,linear,relations,cartesian,plane,without,digital,tools"
Mathematics,8,Algebra and Patterns,"Students use mathematical modelling to solve problems using linear relations, interpreting and reviewing the model in context.","students,mathematical,modelling,solve,problems,using,linear,relations,interpreting,reviewing,model,context"
Mathematics,8,Number and Computation,They make and test conjectures involving linear relations by developing algorithms and using digital tools.,"they,make,test,conjectures,involving,linear,relations,developing,algorithms,using,digital,tools"
