Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Levels 7 and 8,VC2ADA8E01,VCADAR038,Analyse how choreographers use elements of dance and production elements to communicate intent,Refined,Refined for clarity
Levels 7 and 8,VC2ADA8E02,VCADAR039,"Identify and connect specific features of dance from different times and locations, including the dance of Aboriginal and Torres Strait Islander peoples, to explore viewpoints and enrich their dance-making",Refined,Refined to include Indigenous Cultural Intellectual Property rights
Levels 7 and 8,VC2ADA8D01,VCADAD035,Practise and refine technical and expressive skills in style-specific techniques,Refined,Refined to be broader and to specifically include safe dance practices
Levels 7 and 8,VC2ADA8D02,VCADAE034,Develop their choreographic intent by applying the elements of dance to select and organise movement,Refined,Combined to refine content
Levels 7 and 8,VC2ADA8D02,VCADAR038,Analyse how choreographers use elements of dance and production elements to communicate intent,Refined,Combined to refine content
Levels 7 and 8,VC2ADA8C01,VCADAE033,"Use safe dance practice, elements of dance, body actions and improvisations to explore ways of making literal movements into abstract movements Develop their choreographic intent by applying the elements of dance to select and organise movement",Refined,Combined and refined to provide broader learning and clearer language
Levels 7 and 8,VC2ADA8C01,VCADAE034,Develop their choreographic intent by applying the elements of dance to select and organise movement.,Refined,Combined and refined to provide broader learning and clearer language
Levels 7 and 8,VC2ADA8C01,VCADAD036,Structure dances using choreographic devices and form,Refined,Combined and refined to provide broader learning and clearer language
Levels 7 and 8,VC2ADA8C02,VCADAD035,Practise and refine technical and expressive skills in style-specific techniques,Refined,Refined and ‘production elements’ included
Levels 7 and 8,VC2ADA8P01,VCADAP037,Rehearse and perform focusing on technical and expressive skills appropriate to style and/or choreographic intent,Refined,Refined for clarity
Levels 9 and 10,VC2ADA10E01,VCADAR045,"Evaluate their own choreography and performance, and that of others, to inform and refine future work",Refined,Combined to refine content
Levels 9 and 10,VC2ADA10E01,VCADAR046,"Analyse a range of dance from contemporary and past times, including dance of Aboriginal and Torres Strait Islander peoples, to explore differing viewpoints and develop understanding of dance practice across local, national and international contexts",Refined,Combined to refine content
Levels 9 and 10,VC2ADA10E02,VCADAR045,"Evaluate their own choreography and performance, and that of others, to inform and refine future work",Refined,Combined to refine content
Levels 9 and 10,VC2ADA10E02,VCADAR046,"Analyse a range of dance from contemporary and past times, including dance of Aboriginal and Torres Strait Islander peoples, to explore differing viewpoints and develop understanding of dance practice across local, national and international contexts",Refined,Combined to refine content
Levels 9 and 10,VC2ADA10D01,VCADAD042,Practise and refine technical and expressive skills to develop proficiency in genre and style-specific techniques,Refined,Refined to specifically reference use of safe dance practices
Levels 9 and 10,VC2ADA10D02,VCADAE040,Explore personal movement style by combining elements of dance and using improvisation and safe dance practice to develop new movement possibilities,Refined,"Refined for clarity, and 2 content descriptions combined into one"
Levels 9 and 10,VC2ADA10D02,VCADAR045,"Evaluate their own choreography and performance, and that of others, to inform and refine future work",Refined,"Refined for clarity, and 2 content descriptions combined into one"
Levels 9 and 10,VC2ADA10C01,VCADAE040,Explore personal movement style by combining elements of dance and using improvisation and safe dance practice to develop new movement possibilities,Refined,Combined and refined content descriptions
Levels 9 and 10,VC2ADA10C01,VCADAE041,Manipulate combinations of the elements of dance and choreographic devices to communicate their choreographic intent,Refined,Combined and refined content descriptions
Levels 9 and 10,VC2ADA10C01,VCADAD043,"Structure dances using movement motifs, choreographic devices and form",Refined,Combined and refined content descriptions
Levels 9 and 10,VC2ADA10C02,VCADAE040,Explore personal movement style by combining elements of dance and using improvisation and safe dance practice to develop new movement possibilities,Refined,"Combined and refined content descriptions Slightly realigned, and reduced to one content description but overall same content"
Levels 9 and 10,VC2ADA10C02,VCADAE041,Manipulate combinations of the elements of dance and choreographic devices to communicate their choreographic intent,Refined,"Combined and refined content descriptions Slightly realigned, and reduced to one content description but overall same content"
Levels 9 and 10,VC2ADA10C02,VCADAD043,"Structure dances using movement motifs, choreographic devices and form",Refined,"Combined and refined content descriptions Slightly realigned, and reduced to one content description but overall same content"
Levels 9 and 10,VC2ADA10P01,VCADAP044,"Perform dances using genre-and style specific techniques, expressive skills and productions elements to communicate a choreographer’s intent",Refined,Refined to broaden the concept of presenting to include rehearsing and refining
