Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Levels 7 and 8,Geography,"Students create descriptions, explanations and actions, using geographical knowledge, methods and concepts, and they reference findings from appropriate sources.",Skills,"actions,appropriate,concepts,create,descriptions,explanations,findings,geographical,knowledge,methods,reference,sources,students,using",VC2HG8S07,High
Levels 9 and 10,Geography,"By the end of Level 10, students explain how the interactions of people and environmental processes at different scales change the characteristics of places.",Knowledge and Understanding,"change,characteristics,different,environmental,explain,interactions,level,people,places,processes,scales,students","VC2HG10K10,VC2HG10K11,VC2HG10K12",High
Levels 9 and 10,Geography,"Students explain the impacts of human activity on environments, and the effect of environments on human activity, over time.",Knowledge and Understanding,"activity,effect,environments,explain,human,impacts,over,students,time","VC2HG10K05,VC2HG10K05,VC2HG10K06,VC2HG10K08,VC2HG10K09",High
Levels 9 and 10,Geography,They evaluate the distribution of a geographical phenomenon and its implications.,Knowledge and Understanding,"distribution,evaluate,geographical,implications,phenomenon","VC2HG10K015,VC2HG10K02,VC2HG10K03,VC2HG10K04",High
Levels 9 and 10,Geography,Students evaluate interconnections between people and places and environments.,Knowledge and Understanding,"between,environments,evaluate,interconnections,people,places,students",VC2HG10K18,High
Levels 9 and 10,Geography,They analyse changes that result from these interconnections and their consequences.,Knowledge and Understanding,"analyse,changes,consequences,interconnections,result",VC2HG10K18,High
Levels 9 and 10,Geography,They analyse sustainability and how it can be considered to understand environmental issues.,Knowledge and Understanding,"analyse,considered,environmental,issues,sustainability,understand","VC2HG10K13,VC2HG10K14",High
Levels 9 and 10,Geography,"Students evaluate strategies to address a geographical phenomenon, issue or challenge using environmental, social and economic criteria.",Knowledge and Understanding,"address,challenge,criteria,economic,environmental,evaluate,geographical,issue,phenomenon,social,strategies,students,using","VC2HG10K02,VC2HG10K08,VC2HG10K14,VC2HG10K18",High
Levels 9 and 10,Geography,"Students develop a range of relevant questions about a geographical phenomenon, issue or challenge.",Skills,"about,challenge,develop,geographical,issue,phenomenon,questions,range,relevant,students",VC2HG10S01,High
Levels 9 and 10,Geography,"They collect, process, compare and represent relevant and reliable geographical information and data using geospatial technologies.",Skills,"collect,compare,data,geographical,geospatial,information,process,relevant,reliable,represent,technologies,using","VC2HG10S02,VC2HG10S03",High
Levels 9 and 10,Geography,"Students interpret and evaluate information and data to make generalisations and predictions, explain significant patterns and trends, and infer relationships.",Skills,"data,evaluate,explain,generalisations,infer,information,interpret,make,patterns,predictions,relationships,significant,students,trends",VC2HG10S04,High
Levels 9 and 10,Geography,"They consider ethical values and perspectives and justify responses to a phenomenon, issue or challenge.",Knowledge and Understanding,"challenge,consider,ethical,issue,justify,perspectives,phenomenon,responses,values",VC2HG10S05,High
Levels 9 and 10,Geography,"Students develop and evaluate strategies using criteria, recommend a strategy and explain the predicted impacts.",Knowledge and Understanding,"criteria,develop,evaluate,explain,impacts,predicted,recommend,strategies,strategy,students,using",VC2HG10S06,High
Levels 9 and 10,Geography,"They create explanations and actions, using geographical knowledge, methods and concepts, and they synthesise and reference findings from appropriate sources.",Knowledge and Understanding,"actions,appropriate,concepts,create,explanations,findings,geographical,knowledge,methods,reference,sources,synthesise,using",VC2HG10S07,High
