Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Levels 3 and 4,,VCHHC070,Identify and explain the causes and effects of European settlement and exploration,Removed,Now covered under VC2HH4K07 and VC2HH4K08 and VC2HH4K09 in Early colonisation of Australia to c. 1800 sub-strand
Levels 3 and 4,VC2HH4S08,VCHHC071,"Describe the significance of Australian celebrations, symbols and emblems",Refined,Refined to be broader in scope
Levels 3 and 4,VC2HH4S09,,,New,New content description
Levels 5 and 6,VC2HH6K01,VCHHK088,"The social, economic and political causes and reasons for the establishment of British colonies in Australia after 1800",Refined,Broader scope now allows for causes for establishment
Levels 5 and 6,VC2HH6K02,VCHHK089,"The nature of convict or colonial presence, including the factors that influenced changing patterns of development, how the environment changed, and aspects of the daily life of the inhabitants, including Aboriginal and Torres Strait Islander peoples",Refined,Refined to be more concise
Levels 5 and 6,VC2HH6K03,VCHHK090,"The effects of a significant development or event on a colonyThe causes and the reasons why people migrated to Australia from Europe and Asia, and the perspectives, experiences and contributions of a particular migrant group within a colony (VCHHK091)",Updated,Refined with inclusion of connection to skills sub-strand
Levels 5 and 6,VC2HH6K03,VCHHK091,"The effects of a significant development or event on a colony (VCHHK090)
The causes and the reasons why people migrated to Australia from Europe and Asia, and the perspectives, experiences and contributions of a particular migrant group within a colony",Updated,Refined with inclusion of connection to skills sub-strand
Levels 5 and 6,VC2HH6K04,VCHHK095,"The stories and perspectives of people who migrated to Australia, including from one Asian country, and the reasons they migrated",Refined,Refined to be more concise
Levels 5 and 6,VC2HH6K05,VCHHK096,"Significant contributions of individuals and groups, including Aboriginal and Torres Strait Islander peoples and migrants, to changing Australian society",Refined,Refined to be more concise
Levels 5 and 6,VC2HH6K06,,,New,New content description. Important addition to adhere to historical concepts
Levels 5 and 6,VC2HH6K07,VCHHK093,"The significance of key figures and events that led to Australia’s Federation, including British and American influences on Australia’s system of law and government",Refined,Refined to be more concise
Levels 5 and 6,VC2HH6K08,VCHHK094,"The different experiences and perspectives of Australian democracy and citizenship, including the status and rights of Aboriginal and Torres Strait Islander peoples, migrants, women, and children",Refined,Refined to be more concise
Levels 5 and 6,VC2HH6K09,VCHHK091,"The causes and the reasons why people migrated to Australia from Europe and Asia, and the perspectives, experiences and contributions of a particular migrant group within a colony",Refined,Refined
Levels 5 and 6,VC2HH6K10,VCHHK092,The role that a significant individual or group played in shaping and changing a colony,Refined,Slight update in categories of people for inclusivity
Levels 5 and 6,VC2HH6K11,,,New,New content description. Important addition recommended by the Aboriginal and Torres Strait Islander Reference Group
Levels 5 and 6,VC2HH6K12,,,New,New content description. Important addition to adhere to historical concepts
Levels 5 and 6,VC2HH6S01,,,New,New content description
Levels 5 and 6,VC2HH6S02,VCHHC082,Sequence significant events and lifetimes of people in chronological order to create a narrative to explain the developments in Australia’s colonial past and the causes and effects of Federation on its people,Refined,Refined to be broader in scope and connect with other historical concepts and skills
Levels 5 and 6,VC2HH6S03,VCHHC083,"Identify the origin, content features and the purpose of historical sources and describe the context of these sources when explaining daily life in colonial Australia, reasons for migration and causes and effects of Federation",Refined,Refined to be more concise
Levels 5 and 6,VC2HH6S04,,,New,New content description. Important historical skill added
Levels 5 and 6,VC2HH6S05,VCHHC084,"Describe perspectives and identify ideas, beliefs and values of people and groups in the past",Refined,Refined to be broader in scope and connect with other historical concepts and skills
Levels 5 and 6,VC2HH6S06,,,New,New content description. Important historical skill added
Levels 5 and 6,VC2HH6S07,VCHHC085,"Identify and describe patterns of continuity and change in daily life for Aboriginal and Torres Strait Islander peoples, ‘native born’ and migrants in the Australian colonies",Refined,Refined to be more concise
Levels 5 and 6,VC2HH6S08,VCHHC086,"Explain the causes of significant events that shaped the Australian colonies, contributed to Australian Federation and the effects of these on Aboriginal and Torres Strait Islander peoples and migrants",Refined,Refined to be more concise
Levels 5 and 6,VC2HH6S09,VCHHC087,Explain the significance of an event and an individual or group that influenced change in the Australian colonies and in Australian society since Federation,Refined,Refined to be more concise
Levels 5 and 6,VC2HH6S10,,,New,New content description
Levels 7 and 8,VC2HH8K01,,,New,New content description to better align with other Historical Knowledge and Understanding sub-strands
Levels 7 and 8,VC2HH8K02,,,New,New content description to better align with development in historical skills and concepts
Levels 7 and 8,VC2HH8K03,VCHHK114,The different methods and sources used by historians and archaeologists to investigate history and/or a historical mysteryThe significance and importance of conserving the remains and heritage of the past (VCHHK115),Updated,Refined to include importance of archaeology in a single content description
Levels 7 and 8,VC2HH8K03,VCHHK115,"The different methods and sources used by historians and archaeologists to investigate history and/or a historical mystery (VCHHK114)
The significance and importance of conserving the remains and heritage of the past",Updated,Refined to include importance of archaeology in a single content description
Levels 7 and 8,VC2HH8K04,,,New,"New content description, to better align with development in historical skills and concepts"
Levels 7 and 8,VC2HH8K05,,,New,New content description to better align with development in historical skills and concepts
Levels 7 and 8,,VCHHK110,Changes in society and the perspectives of key groups affected by change including the influence of law and religion,Removed,Removed because this is now an overview; key groups examined in Investigations
Levels 7 and 8,VC2HH8K06,VCHHK106,"The significant beliefs, values and practices of Aboriginal and Torres Strait Islander peoples and cultures including trade with other communities, causes and effects of warfare, and death and funerary customs",Refined,Updated language
Levels 7 and 8,VC2HH8K07,VCHHK105,"How physical or geographical features influenced the development of Aboriginal and Torres Strait Islander peoples’ communities, foundational stories and land management practices",Refined,Updated language
Levels 7 and 8,VC2HH8K08,VCHHK115,The significance and importance of conserving the remains and heritage of the past,Updated,Broadened the scope to expanded features and structures
Levels 7 and 8,VC2HH8K09,,,New,New content description
Levels 7 and 8,VC2HH8K10,VCHHK108,"The importance of conserving the remains of the ancient past, including the heritage, culture and artefacts of Aboriginal and Torres Strait Islander peoples",Refined,Updated language and provided more specificity for clarity
Levels 7 and 8,VC2HH8K11,,,New,New content description
Levels 7 and 8,VC2HH8K12,VCHHK109,"Europe and the Mediterranean world
Choose at least one of the following:
Egypt
Greece
Rome
The Asia-Pacific world
Choose at least one of the following:
India
China
How physical features influenced the development of the civilisation",Refined,Changed ‘civilisation’ to ‘ancient society’
Levels 7 and 8,VC2HH8K13,VCHHK110,Changes in society and the perspectives of key groups affected by change including the influence of law and religion,Refined,Refined wording
Levels 7 and 8,VC2HH8K14,VCHHK111,"Significant beliefs, values and practices with a particular emphasis on changes to everyday life, cause and effect of warfare, and perspectives of death and funerary customs",Refined,Refined to include language from historical skills and concepts
Levels 7 and 8,VC2HH8K15,,,New,New content description. Added to maintain connection to historical skills and concepts
Levels 7 and 8,VC2HH8K16,VCHHK112,"Causes and effects of contacts and conflicts with other societies and/or peoples, resulting in developments such as expansion of trade, colonisation and war, and spread of beliefs",Refined,Refined to include language from historical skills and concepts
Levels 7 and 8,VC2HH8K17,VCHHK113,The role and achievements of a significant individual in an ancient society,Refined,Refined to add more opportunities to focus on groups
Levels 7 and 8,VC2HH8K18,,,New,New content description
Levels 7 and 8,,VCHHK107,"The nature of sources of evidence about ancient Australia and what they reveal about Australia’s ancient past, such as the use of resources",Removed,Removed as language about ‘ancient Australia’ no longer connects with VC2
Levels 7 and 8,VC2HH8K19,VCHHK116,"Europe and the Mediterranean world
Choose at least one of the following:
The Vikings (c.790 – c.1066)
Medieval Europe (c.590 – c.1500)
The Ottoman Empire (c.1299 – c.1683)
The Asia-Pacific world
Choose at least one of the following:
Angkor/Khmer Empire (c.802 – c.1431)
Mongol Expansion (c.1206 – c.1368)
Japan under the Shoguns (c.794 – 1867)
The Polynesian expansion across the Pacific (c.700 – 1756)
Expanding Contacts: Discovery and Exploration
Choose at least one of the following:
Renaissance Italy (c.1400 – c.1600)
The Spanish Conquest of the Americas (c.1492 – c.1572)
The significant social, cultural, economic, environmental and political changes and continuities in the way of life and the roles and relationships of different groups in society",Refined,Added connection to historical skill of continuity and change
Levels 7 and 8,VC2HH8K20,,,New,New content description
Levels 7 and 8,VC2HH8K21,,,New,New content description
Levels 7 and 8,VC2HH8K22,,,New,New content description
Levels 7 and 8,VC2HH8K23,,,New,New content description
Levels 7 and 8,VC2HH8K24,VCHHK116,"Europe and the Mediterranean world
Choose at least one of the following:
The Vikings (c.790 – c.1066)
Medieval Europe (c.590 – c.1500)
The Ottoman Empire (c.1299 – c.1683)
The Asia-Pacific world
Choose at least one of the following:
Angkor/Khmer Empire (c.802 – c.1431)
Mongol Expansion (c.1206 – c.1368)
Japan under the Shoguns (c.794 – 1867)
The Polynesian expansion across the Pacific (c.700 – 1756)
Expanding Contacts: Discovery and Exploration
Choose at least one of the following:
Renaissance Italy (c.1400 – c.1600)
The Spanish Conquest of the Americas (c.1492 – c.1572)
The significant social, cultural, economic, environmental and political changes and continuities in the way of life and the roles and relationships of different groups in societyOne significant challenge and one development faced by the society that caused progress or decline (VCHHK120)
Significant causes and effects of developments and/or cultural achievements that reflect the concentration and/or expansion of wealth and power (VCHHK117)",Updated,Encompasses 3 content descriptions. Added connection to historical skill of continuity and change
Levels 7 and 8,VC2HH8K24,VCHHK120,"Europe and the Mediterranean world
Choose at least one of the following:
The Vikings (c.790 – c.1066)
Medieval Europe (c.590 – c.1500)
The Ottoman Empire (c.1299 – c.1683)
The Asia-Pacific world
Choose at least one of the following:
Angkor/Khmer Empire (c.802 – c.1431)
Mongol Expansion (c.1206 – c.1368)
Japan under the Shoguns (c.794 – 1867)
The Polynesian expansion across the Pacific (c.700 – 1756)
Expanding Contacts: Discovery and Exploration
Choose at least one of the following:
Renaissance Italy (c.1400 – c.1600)
The Spanish Conquest of the Americas (c.1492 – c.1572)
The significant social, cultural, economic, environmental and political changes and continuities in the way of life and the roles and relationships of different groups in society (VCHHK116)
One significant challenge and one development faced by the society that caused progress or declineSignificant causes and effects of developments and/or cultural achievements that reflect the concentration and/or expansion of wealth and power (VCHHK117)",Updated,Encompasses 3 content descriptions. Added connection to historical skill of continuity and change
Levels 7 and 8,VC2HH8K24,VCHHK117,"Europe and the Mediterranean world
Choose at least one of the following:
The Vikings (c.790 – c.1066)
Medieval Europe (c.590 – c.1500)
The Ottoman Empire (c.1299 – c.1683)
The Asia-Pacific world
Choose at least one of the following:
Angkor/Khmer Empire (c.802 – c.1431)
Mongol Expansion (c.1206 – c.1368)
Japan under the Shoguns (c.794 – 1867)
The Polynesian expansion across the Pacific (c.700 – 1756)
Expanding Contacts: Discovery and Exploration
Choose at least one of the following:
Renaissance Italy (c.1400 – c.1600)
The Spanish Conquest of the Americas (c.1492 – c.1572)
The significant social, cultural, economic, environmental and political changes and continuities in the way of life and the roles and relationships of different groups in society (VCHHK116)
One significant challenge and one development faced by the society that caused progress or decline (VCHHK120)
Significant causes and effects of developments and/or cultural achievements that reflect the concentration and/or expansion of wealth and power",Updated,Encompasses 3 content descriptions. Added connection to historical skill of continuity and change
Levels 7 and 8,VC2HH8K25,,,New,New content description
Levels 7 and 8,VC2HH8K26,VCHHK118,Perspectives of subject peoples and their interactions with power and/or authority of others,Refined,Refined wording
Levels 7 and 8,VC2HH8K27,VCHHK119,The role and achievements of a significant individual and/or group,Refined,Refined
Levels 7 and 8,VC2HH8K28,,,New,New content description
Levels 7 and 8,VC2HH8S01,,,New,New content description
Levels 7 and 8,VC2HH8S02,VCHHC097,Sequence significant events in chronological order to analyse the causes and effects and identify continuities and changes,Refined,Added historical skills and concepts
Levels 7 and 8,VC2HH8S03,,,New,New content description
Levels 7 and 8,VC2HH8S04,VCHHC099,"Analyse and corroborate sources and ask questions about their accuracy, usefulness and reliability",Refined,Refined to include language for broader focus
Levels 7 and 8,VC2HH8S05,,,New,New content description
Levels 7 and 8,VC2HH8S06,VCHHC101,Explain different historical interpretations and contested debates about the pastAnalyse the different perspectives of people in the past (VCHHC100),Updated,Updated command term to ensure progression across bands
Levels 7 and 8,VC2HH8S06,VCHHC100,"Explain different historical interpretations and contested debates about the past (VCHHC101)
Analyse the different perspectives of people in the past",Updated,Updated command term to ensure progression across bands
Levels 7 and 8,VC2HH8S07,VCHHC102,Identify and explain patterns of continuity and change in society to the way of lifeDescribe and explain the broad patterns of change over the period from the Ancient to the Modern World (VCHHC098),Updated,"Combined 2 content descriptions into one, updating command term to ensure progression across bands"
Levels 7 and 8,VC2HH8S07,VCHHC098,"Identify and explain patterns of continuity and change in society to the way of life (VCHHC102)
Describe and explain the broad patterns of change over the period from the Ancient to the Modern World",Updated,"Combined 2 content descriptions into one, updating command term to ensure progression across bands"
Levels 7 and 8,VC2HH8S08,VCHHC103,"Analyse the causes and effects of significant events that caused change and/or a decline over the periodEvaluate the role and achievement of a significant individual, development and/or cultural achievement that led to progress (VCHHC104)",Updated,"Combined 2 content descriptions into one, updating command term to ensure progression across bands"
Levels 7 and 8,VC2HH8S08,VCHHC104,"Analyse the causes and effects of significant events that caused change and/or a decline over the period (VCHHC103)
Evaluate the role and achievement of a significant individual, development and/or cultural achievement that led to progress",Updated,"Combined 2 content descriptions into one, updating command term to ensure progression across bands"
Levels 7 and 8,VC2HH8S09,,,New,New content description
Levels 7 and 8,VC2HH8S10,,,New,New content description
Levels 9 and 10,VC2HH10K01,VCHHK129,"Industrial Revolution (1750 – 1914)
Causes that led to the Industrial Revolution, and other conditions and ideas that influenced the industrialisation of Britain and of Australia",Refined,Broader than UK and Australia now
Levels 9 and 10,VC2HH10K02,,,New,New content description
Levels 9 and 10,VC2HH10K03,,,New,New content description
Levels 9 and 10,VC2HH10K04,,,New,New content description
Levels 9 and 10,VC2HH10K05,,,New,New content description
Levels 9 and 10,VC2HH10K06,,,New,New content description
Levels 9 and 10,,VCHHK130,Causes of population movements and settlement patterns during this period and the significant changes to the way of life of groups of people,Removed,"To reduce content for overview, this is now included in VC2HH10K01"
Levels 9 and 10,,VCHHK132,"Significant effects of the Industrial Revolution, including global changes in landscapes, movements of people, development and influence of ideas, political and social reforms, and transport and communication",Removed,"To reduce content for overview, this is now included in VC2HH10K01"
Levels 9 and 10,,VCHHK131,"Different experiences and perspectives of individuals or groups and how ideas, beliefs and values changed during the significant events of the Industrial Revolution",Removed,"To reduce content for overview, this is now included in VC2HH10K01"
Levels 9 and 10,VC2HH10K07,,,New,"New content description. An important addition, on advice from the Aboriginal and Torres Strait Islander Reference Group"
Levels 9 and 10,VC2HH10K08,,,New,New content description
Levels 9 and 10,VC2HH10K09,,,New,New content description
Levels 9 and 10,VC2HH10K10,VCHHK137,"Different experiences and perspectives of non-Europeans and their perspectives on changes to society, significant events, ideas, beliefs and values",Refined,Refined wording
Levels 9 and 10,VC2HH10K11,,,New,New content description
Levels 9 and 10,VC2HH10K12,,,New,New content description. Added to align better with historical concepts and skills
Levels 9 and 10,VC2HH10K13,,,New,Now includes both wars and split VCHHK139 to focus on causes
Levels 9 and 10,VC2HH10K14,,,New,New content description. VC2 now includes both wars and splits VCHHK139 to focus on reasons why Australians went to war
Levels 9 and 10,VC2HH10K15,VCHHK140,Significant places where Australians fought and explore their perspectives and experiences in these placesSignificant places where Australians fought and their perspectives and experiences in these places (VCHHK146),Updated,"Changed to include both wars, focus on places"
Levels 9 and 10,VC2HH10K15,VCHHK146,"Significant places where Australians fought and explore their perspectives and experiences in these places (VCHHK140)
Significant places where Australians fought and their perspectives and experiences in these places",Updated,"Changed to include both wars, focus on places"
Levels 9 and 10,VC2HH10K16,,,New,"Changed to include both wars, focus on experiences and perspectives"
Levels 9 and 10,VC2HH10K17,VCHHK141,"Significant events, turning points of the war and the nature of warfareSignificant events, turning points of World War II and the nature of warfare, including the Holocaust and use of the atomic bomb (VCHHK147)",Updated,Now includes both wars
Levels 9 and 10,VC2HH10K17,VCHHK147,"Significant events, turning points of the war and the nature of warfare (VCHHK141)
Significant events, turning points of World War II and the nature of warfare, including the Holocaust and use of the atomic bomb",Updated,Now includes both wars
Levels 9 and 10,VC2HH10K18,,,New,"New content description. Important inclusion of historical skills and concepts that connects the 2 wars, as they are now included together"
Levels 9 and 10,VC2HH10K19,VCHHK142,"Effects of World War I, with a particular emphasis on the changes and continuities brought to the Australian home front and societyEffects of World War II, with a particular emphasis on the changes and continuities brought to the Australian home front and society (VCHHK148)
Significance of World War I to Australia’s international relationships in the twentieth century, with particular reference to the Britain, the USA and Asia (VCHHK143)
Significance of World War II to Australia’s international relationships in the twentieth century, with particular reference to the Britain, the USA, Asia and United Nations (VCHHK149)",Updated,Now includes both wars
Levels 9 and 10,VC2HH10K19,VCHHK148,"Effects of World War I, with a particular emphasis on the changes and continuities brought to the Australian home front and society (VCHHK142)
Effects of World War II, with a particular emphasis on the changes and continuities brought to the Australian home front and societySignificance of World War I to Australia’s international relationships in the twentieth century, with particular reference to the Britain, the USA and Asia (VCHHK143)
Significance of World War II to Australia’s international relationships in the twentieth century, with particular reference to the Britain, the USA, Asia and United Nations (VCHHK149)",Updated,Now includes both wars
Levels 9 and 10,VC2HH10K19,VCHHK143,"Effects of World War I, with a particular emphasis on the changes and continuities brought to the Australian home front and society (VCHHK142)
Effects of World War II, with a particular emphasis on the changes and continuities brought to the Australian home front and society (VCHHK148)
Significance of World War I to Australia’s international relationships in the twentieth century, with particular reference to the Britain, the USA and AsiaSignificance of World War II to Australia’s international relationships in the twentieth century, with particular reference to the Britain, the USA, Asia and United Nations (VCHHK149)",Updated,Now includes both wars
Levels 9 and 10,VC2HH10K19,VCHHK149,"Effects of World War I, with a particular emphasis on the changes and continuities brought to the Australian home front and society (VCHHK142)
Effects of World War II, with a particular emphasis on the changes and continuities brought to the Australian home front and society (VCHHK148)
Significance of World War I to Australia’s international relationships in the twentieth century, with particular reference to the Britain, the USA and Asia (VCHHK143)
Significance of World War II to Australia’s international relationships in the twentieth century, with particular reference to the Britain, the USA, Asia and United Nations",Updated,Now includes both wars
Levels 9 and 10,VC2HH10K20,VCHHK147,"Significant events, turning points of World War II and the nature of warfare, including the Holocaust and use of the atomic bomb",Refined,Added to support the requirement for Holocaust education
Levels 9 and 10,VC2HH10K21,VCHHK147,"Significant events, turning points of World War II and the nature of warfare, including the Holocaust and use of the atomic bomb",Refined,Added to support the requirement for Holocaust education
Levels 9 and 10,VC2HH10K22,VCHHK147,"Significant events, turning points of World War II and the nature of warfare, including the Holocaust and use of the atomic bomb",Refined,Added to support the requirement for Holocaust education
Levels 9 and 10,VC2HH10K23,VCHHK144,Different historical interpretations and contested debates about World War I and the significance of Australian commemorations of the warDifferent historical interpretations and contested debates about World War II and the significance of Australian commemoration of war (VCHHK150),Updated,Simplified and includes both wars
Levels 9 and 10,VC2HH10K23,VCHHK150,"Different historical interpretations and contested debates about World War I and the significance of Australian commemorations of the war (VCHHK144)
Different historical interpretations and contested debates about World War II and the significance of Australian commemoration of war",Updated,Simplified and includes both wars
Levels 9 and 10,VC2HH10K24,VCHHK133,"Students investigate the history of either Australia and/or an Asian society in the period 1750 – 1918
Key social, cultural, economic, and political features of one society at the start of the period",Refined,Refined language
Levels 9 and 10,VC2HH10K25,VCHHK134,"Intended and unintended causes and effects of contact and extension of settlement of European power(s), including Aboriginal and Torres Strait Islander peoples",Refined,Refined language
Levels 9 and 10,VC2HH10K26,VCHHK135,"Significant events and influencing ideas in the development of the society, including different perspectives of the events at the time and different historical interpretations and debates",Refined,Simplified language
Levels 9 and 10,VC2HH10K27,,,New,New content description
Levels 9 and 10,VC2HH10K28,VCHHK136,"Patterns of continuity and change and their effects on influencing movements of people, ways of life and living conditions, political and legal institutions, and cultural expression around the turn of the twentieth century",Refined,Simplified language
Levels 9 and 10,VC2HH10K29,,,New,New content description. Important for historical skills and concepts
Levels 9 and 10,,VCHHK138,Position of the society in relation to other nations in the world by 1918 including the effects of ideas and movements of people,Removed,Removed to allow for greater breadth in other sub-strands
Levels 9 and 10,VC2HH10K30,VCHHK152,Causes of the struggle of Aboriginal and Torres Strait Islander peoples for rights and freedoms before 1965,Refined,Updated to current sub-strand
Levels 9 and 10,,VCHHK153,Effects of the US civil rights movement and its influence on Australia,Removed,Removed
Levels 9 and 10,VC2HH10K31,VCHHK154,"Significance of the following events in changing society: 1962 right to vote federally, 1967 Referendum, Reconciliation, Mabo decision, Bringing Them Home Report (the Stolen Generations), the Apology and the different perspectives of these events",Refined,Updated to current sub-strand
Levels 9 and 10,VC2HH10K32,VCHHK155,"Effects of methods used by civil rights activists to achieve change for Aboriginal and Torres Strait Islander peoples, and the role of one individual or group in the struggle",Refined,Refined to provide greater scope
Levels 9 and 10,VC2HH10K33,VCHHK155,"Effects of methods used by civil rights activists to achieve change for Aboriginal and Torres Strait Islander peoples, and the role of one individual or group in the struggle",Refined,Simplified language and scope
Levels 9 and 10,VC2HH10K34,VCHHK156,Continuity and change for Aboriginal and Torres Strait Islander peoples in securing and achieving civil rights and freedoms in Australia,Refined,Updated to current sub-strand
Levels 9 and 10,VC2HH10K35,,,New,New content description. Important to connect to historical skills and concepts
Levels 9 and 10,VC2HH10K36,VCHHK159,"Changing social, cultural, historical, economic, environmental, political and technological conditions on a major global influence in Australia",Refined,Refined
