SubjectArea,Subject,Band,Unit,AreaofStudy,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Characters, settings and plot, and point of view and voice",consider and explore:,2,4
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"How vocabulary, text structures and language features create meaning",consider and explore:,2,5
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Engage productively in small group and class discussion, including listening to others",,1,6
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Develop, share and clarify ideas with peers and teachers employing appropriate strategies for discussion and debate",,1,7
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Plan and develop personal and analytical writing about a text, including the use of appropriate metalanguage to discuss vocabulary, text structures and language features",,1,8
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Use textual evidence, where appropriate, to support writing",,1,9
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Use appropriate strategies to review and edit writing,,1,10
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Apply the conventions of syntax, punctuation and spelling of Standard Australian English.",,1,11
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,"Vocabulary, text structures and language features used in effective writing",,1,1
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,Different strategies to generate and develop ideas,,1,2
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,"The ways purpose, context and audience shape writing",,1,3
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,Different language modes and their effects on structure and meaning,,1,4
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,The power of language when deployed by an author to achieve their aims,,1,5
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,The range of ideas presented in various ways in mentor texts,,1,6
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,"Writing processes including drafting, refining and considering feedback",,1,7
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,The value of collaboration and discussion,,1,8
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,"Standard and non-standard conventions of language, including syntax, punctuation and spelling.",,1,9
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,"Employ and experiment with vocabulary, text structures and language features for effective writing",,1,1
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,"Write with a clear purpose (to express, to reflect, to explain or to argue) and an awareness of context (including mode) and audience",,1,2
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,Develop and employ writing processes,,1,3
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,"Generate ideas, and discuss, develop and elaborate on these ideas",,1,4
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,"Explore voices appropriate to audience, purpose and context (including mode)",,1,5
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,Experiment with vocabulary for effective writing,,1,6
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,"Plan, create, draft, refine and complete individual writing",,1,7
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,Collaborate on the processes of writing with peers and teachers through discussion and feedback,,1,8
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,"Recognise and comment on vocabulary, text structures, language features and ideas used in effective writing",,1,9
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,Reflect on and share the implications of authorial choices made in their own writing and in the writings of others,,1,10
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to demonstrate an understanding of effective and cohesive writing through the crafting of their own texts designed for a specific context and audience to achieve a stated purpose; and to describe individual decisions made about the vocabulary, text structures, language features and conventions used during writing processes.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,"Apply standard and non-standard conventions of language, including syntax, punctuation and spelling, as appropriate.",,1,11
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Knowledge,Inferential reading and viewing strategies,,1,1
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Knowledge,"Ideas, concerns and tensions in a text",,1,2
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Knowledge,"Vocabulary, text structures and language features in a text used to construct meaning",,1,3
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Knowledge,"The historical context, and the social and cultural values in a text",,1,4
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Knowledge,Strategies and techniques for constructing and supporting analytical writing in response to a text,,1,5
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Knowledge,"The conventions of small group and whole class discussion, including ways of developing constructive interactions and building on the ideas of others in discussion",,1,6
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Knowledge,The conventions of discussion and debate,,1,7
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,8
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Skills,Build inferential reading and viewing strategies,,1,1
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Skills,Read and engage with a text for meaning,,1,2
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Skills,"Discuss and analyse ideas, concerns and tensions presented in a text",,1,3
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Skills,"Discuss and analyse the specific vocabulary, text structures and language features in text, including the use of appropriate metalanguage, and how these aspects create meaning",,1,4
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Skills,Respond to a set topic,,1,5
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Skills,"Construct analytical writing in response to a text, including the use of appropriate evidence from the text",,1,6
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Skills,Use appropriate strategies to review and edit the writing,,1,7
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Skills,Listen attentively and respond appropriately to others’ views during discussion,,1,8
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to explore and analyse how the vocabulary, text structures, language features and ideas in a text construct meaning.
To achieve the outcome the student will draw on knowledge and related skills outlined in Area of
Study 1.",Key Skills,"Use the conventions of syntax, punctuation and spelling of Standard Australian English.",,1,9
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,"An understanding of contention and supporting arguments, including:",,1,1
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,Sequence and structure,,1,2
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,Use of supporting evidence,,1,3
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,Language,,1,4
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,Techniques and strategies,,1,5
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,The role of visuals in supporting argument,,1,6
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,The ways authors employ arguments to position intended audiences,,1,7
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,"The elements of audio and audio visual texts that contribute to a persuasive effect including intonation, volume, pace, pausing and stress",,1,8
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,The impact of context on the presentation of arguments,,1,9
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,The conventions of discussion and debate such as active listening and questioning,,1,10
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,The features of an analytical response to texts that present an argument,,1,11
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,The features of a point of view text for oral presentation,,1,12
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,13
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,Summarise the key points in arguments using skills such as note-taking and annotation,,1,1
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,"Identify, explore and apply:",,1,2
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to explore and analyse persuasive texts within the context of a contemporary issue, including the ways argument and language can be used to position an audience; and to construct a point of view text for oral presentation.
To achieve the outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.",Key Skills,The intent and logical development of contention and supporting arguments,"identify, explore and apply:",2,3
