SubjectArea,Subject,Band,Strand,SubStrand,ContentCode_V2,ContentDescription_V2,Topic,Elaboration
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K03,"Significant developments and events since 1945 that have contributed to global change, such as World War II, the United Nations, the Cold War and technologies",,"Identifying key developments in technology since 1945 that have changed the world in the following areas: the household, such as television, appliances, central heating and cooling; travel and trade, such as shipping and passenger jets; globalisation, mass consumption and communications, such as the microchip, satellites and digital systems"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K03,"Significant developments and events since 1945 that have contributed to global change, such as World War II, the United Nations, the Cold War and technologies",,"Creating an annotated timeline of major global social, economic, political, technological and cultural developments between 1945 and the present, including events such as the end of World War II, the establishment of the United Nations, the Cold War, key conflicts of the Cold War, decolonisation, development of the transistor, manned space flight, the end of the Cold War, development of personal computers and information technology, the War on Terror, the Global Financial Crisis, the COVID-19 pandemic and the emergence of new global economic powers"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K03,"Significant developments and events since 1945 that have contributed to global change, such as World War II, the United Nations, the Cold War and technologies",,"Discussing the growth in the world’s population during the 20th century, including life expectancy changes in different parts of the world, and the depletion of natural resources"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K03,"Significant developments and events since 1945 that have contributed to global change, such as World War II, the United Nations, the Cold War and technologies",,"Identifying how the rise of the environmental movement around the world has changed people’s perspectives on things such as developments in renewable energy technology and sustainability measures, such as recycling"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K04,"The contribution of significant movements for social and political change since 1945, such as independence, nationalist and conservative political movements, indigenous rights, civil rights, women’s rights, LGBTQI+ rights and environmentalism",,Annotating a map of the world to show major political independence movements since 1945
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K04,"The contribution of significant movements for social and political change since 1945, such as independence, nationalist and conservative political movements, indigenous rights, civil rights, women’s rights, LGBTQI+ rights and environmentalism",,"Comparing the campaigns of indigenous rights movements in the USA, Canada, Australia and New Zealand"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K04,"The contribution of significant movements for social and political change since 1945, such as independence, nationalist and conservative political movements, indigenous rights, civil rights, women’s rights, LGBTQI+ rights and environmentalism",,"Explaining the significance of key activists for social and political change globally since 1945, including Betty Friedan, Mikhail Gorbachev, Ernesto ‘Che’ Guevara, Martin Luther King Jr, Nelson Mandela, Ho Chi Minh, Margaret Thatcher, Greta Thunberg, Malala Yousafzai and Mao Zedong"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K04,"The contribution of significant movements for social and political change since 1945, such as independence, nationalist and conservative political movements, indigenous rights, civil rights, women’s rights, LGBTQI+ rights and environmentalism",,"Comparing the techniques used by movements for social and political change, such as direct action, civil disobedience and legal campaigns"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K04,"The contribution of significant movements for social and political change since 1945, such as independence, nationalist and conservative political movements, indigenous rights, civil rights, women’s rights, LGBTQI+ rights and environmentalism",,"Examining the connection between movements and global connectivity through technology in the 21st century, such as #metoo, the Arab Spring, Black Lives Matter, Extinction Rebellion and Occupy"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K04,"The contribution of significant movements for social and political change since 1945, such as independence, nationalist and conservative political movements, indigenous rights, civil rights, women’s rights, LGBTQI+ rights and environmentalism",,"Comparing the changes in movements over time and the different perspectives within movements, such as the waves of feminism from suffrage to today, anti-slavery to Black Lives Matter, the illegality of same-sex relationships to same-sex marriage and trans rights, environmental focus from conservation to responding to climate change, populism, self-determination and decolonialism"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K05,"The significant events, individuals and groups in the women’s movement in Australia, and how they have changed the role and status of women",,"Investigating events connected to the changing roles and rights of women in the workforce since 1945, such as the repeal of the ‘marriage bar’, the Sex Discrimination Act 1984, the changing nature of participation in employment and the gender pay gap"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K05,"The significant events, individuals and groups in the women’s movement in Australia, and how they have changed the role and status of women",,"Examining the contributions of significant female leaders in Australian public life, for example political leaders and activists, social reformers, sporting identities, artists and entertainers"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K06,"The continuing efforts to create change in the civil rights and freedoms in Australia, for Aboriginal and Torres Strait Islander Peoples, migrants and women",,"Identifying areas, such as education, health care, housing and employment, that are the focus for continued civil rights action for Aboriginal and Torres Strait Islander Peoples, and discussing why there continues to be a need for such action"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K06,"The continuing efforts to create change in the civil rights and freedoms in Australia, for Aboriginal and Torres Strait Islander Peoples, migrants and women",,"Examining the changes in women’s rights in 20th- and 21st-century Australia, ranging from suffrage to election to state and commonwealth parliaments, employment law, reproductive rights, access to public places such as hotels, and protections against domestic and family violence"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K06,"The continuing efforts to create change in the civil rights and freedoms in Australia, for Aboriginal and Torres Strait Islander Peoples, migrants and women",,"Investigating the changes in government policy in relation to migrants and how these policies have reflected and impacted on Australia’s changing place in the world, for example the Racial Discrimination Act 1975"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K06,"The continuing efforts to create change in the civil rights and freedoms in Australia, for Aboriginal and Torres Strait Islander Peoples, migrants and women",,Examining the ideas in and Australia’s responsibilities as a signatory to the UN Declaration on the Rights of Indigenous Peoples (UNDRIP) (2007) and discussing how it influences calls for recognising the rights of Aboriginal and Torres Strait Islander Peoples and First Peoples in other countries
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K07,"Aboriginal and Torres Strait Islander Peoples’ knowledge and understandings that shaped the relationship between Country and Place, communities and cultural practices during the 18th and early 19th centuries",,"Reviewing the AIATSIS Map of Indigenous Australia as a reminder of the diversity of Aboriginal and Torres Strait Islander Peoples’ communities, cultures and histories"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K07,"Aboriginal and Torres Strait Islander Peoples’ knowledge and understandings that shaped the relationship between Country and Place, communities and cultural practices during the 18th and early 19th centuries",,"Investigating the consequences on Aboriginal and Torres Strait Islander Peoples of contact with non-Indigenous populations, including the Macassans and British"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K07,"Aboriginal and Torres Strait Islander Peoples’ knowledge and understandings that shaped the relationship between Country and Place, communities and cultural practices during the 18th and early 19th centuries",,"Using a visual organiser to document the ways in which connection to Country and Place informed relationships between Aboriginal and Torres Strait Islander individuals, communities and nature"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K07,"Aboriginal and Torres Strait Islander Peoples’ knowledge and understandings that shaped the relationship between Country and Place, communities and cultural practices during the 18th and early 19th centuries",,Describing the structures of kinship in Aboriginal and Torres Strait Islander communities and explaining how this influenced everyday life
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K08,The causes of the establishment of British colonies on Aboriginal and Torres Strait Islander Peoples’ Countries and Places during the 18th and early 19th centuries,,Investigating Cook’s ‘secret instructions’ from the Lords of the Admiralty (30 July 1768) that requested he ‘with the Consent of the Natives to take possession of the Convenient Situations in the Country in the Name of the King of Great Britain’ with relation to an understanding of Terra Nullius
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K08,The causes of the establishment of British colonies on Aboriginal and Torres Strait Islander Peoples’ Countries and Places during the 18th and early 19th centuries,,"Ranking and explaining the most significant causes of British establishment of colonies in Australia, such as economic factors, the need for penal colonies, the impacts of the Industrial Revolution and competition with other powers"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K08,The causes of the establishment of British colonies on Aboriginal and Torres Strait Islander Peoples’ Countries and Places during the 18th and early 19th centuries,,"Using a table to summarise the types of colonies established, their locations, the reasons for their establishment and examples of evidence from primary and secondary sources to support their interpretation"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K09,"Significant events, ideas, people, groups and movements that contributed to continuity and change in Australian society between 1750 and 1914",,"Discussing the colonisation of the Torres Strait Islands in the 1870s, the development of the pearling industry and the changes experienced by Torres Strait Islander Peoples"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K09,"Significant events, ideas, people, groups and movements that contributed to continuity and change in Australian society between 1750 and 1914",,"Investigating Victorian instances of frontier violence, such as the Eumeralla Wars, and evaluating their historical significance to Aboriginal Peoples and colonists"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K09,"Significant events, ideas, people, groups and movements that contributed to continuity and change in Australian society between 1750 and 1914",,"Brainstorming the contribution of different groups to Australian society between 1750 and 1914, such as Aboriginal and Torres Strait Islander Peoples, local-born colonists, migrant groups, including the Chinese and cameleers, different social classes and religious groups, and differences in regions"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K09,"Significant events, ideas, people, groups and movements that contributed to continuity and change in Australian society between 1750 and 1914",,"Explaining the factors that contributed to Federation and the development of democracy in Australia, such as defence concerns, economic concerns and the 1890s depression, the ‘White Australia’ ideal, nationalist ideals, egalitarianism and the influences of the British Westminster system and the USA’s Washington and federal models"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K09,"Significant events, ideas, people, groups and movements that contributed to continuity and change in Australian society between 1750 and 1914",,"Describing the key steps to Federation, such as the Australasian Federation Conference (1890), the first Federal Constitutional Convention (1891), the second Federal Constitutional Convention (1897–1898), the first referendum on the Federal Constitution (1898), the second referendum on the Federal Constitution (1899), the Commonwealth of Australia Constitution Act (1900) and Federation Day (1 January 1901), and evaluating the contribution of key groups and individuals, such as Sir Henry Parkes, Sir Samuel Griffith, William Guthrie Spence, John Feltham Archibald, Catherine Helen Spence, Alfred Deakin, Tom Roberts, Frederick McCubbin, Arthur Streeton, Joseph Furphy, Barbara Baynton, Banjo Paterson, Henry Lawson, ‘Federation leagues’, the Australian Natives Association and The Bulletin"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K09,"Significant events, ideas, people, groups and movements that contributed to continuity and change in Australian society between 1750 and 1914",,"Analysing the significance of advancing women’s voting rights on the development of Australian democracy, including the women’s suffrage movements, the Christian Women’s Temperance Union and the Commonwealth Franchise Act 1902"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K10,"Aboriginal and Torres Strait Islander Peoples’, local-born colonists’ and migrants’ experiences and perspectives of continuity and change between 1750 and 1914",,"Analysing Aboriginal and Torres Strait Islander Peoples’ responses to frontier warfare, massacres, removal from land and relocation to protectorates, reserves and missions"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K10,"Aboriginal and Torres Strait Islander Peoples’, local-born colonists’ and migrants’ experiences and perspectives of continuity and change between 1750 and 1914",,"Investigating how Aboriginal and Torres Strait Islander Peoples responded to colonisation, including through making important contributions to the various industries that were established on their lands and waters, and adopting Christianity and other religions"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K10,"Aboriginal and Torres Strait Islander Peoples’, local-born colonists’ and migrants’ experiences and perspectives of continuity and change between 1750 and 1914",,"Investigating the forcible removal of children from Aboriginal and Torres Strait Islander Peoples’ families in the late 19th century and 20th century, including the motivations for the removal of children, the practices and laws that were in place, and experiences of separation"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K10,"Aboriginal and Torres Strait Islander Peoples’, local-born colonists’ and migrants’ experiences and perspectives of continuity and change between 1750 and 1914",,"Investigating the experiences and perspectives of a specific group of arrivals to Australia, such as convicts in Sydney, Hobart or Brisbane, or free colonists in Melbourne, Adelaide, Perth or Darwin"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K10,"Aboriginal and Torres Strait Islander Peoples’, local-born colonists’ and migrants’ experiences and perspectives of continuity and change between 1750 and 1914",,"Examining how convicts transported to Australia were able to begin new lives away from the rigid class structures of English society, with many of them making significant contributions to the emerging colonial society, such as Francis Greenway and Samuel Terry"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K10,"Aboriginal and Torres Strait Islander Peoples’, local-born colonists’ and migrants’ experiences and perspectives of continuity and change between 1750 and 1914",,"Examining the experiences of non-Europeans in Australia prior to the 1900s, such as Japanese pearlers in Darwin, Chinese people on the goldfields in Victoria and New South Wales, South Sea Islanders on sugar plantations in Queensland, and Afghan cameleers in Central Australia"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K11,"Continuities and changes and their consequences on ways of life, living conditions, political and legal institutions and cultural expression around the turn of the 20th century",,"Examining the living and working conditions in Australia around 1900 and making comparisons between different settings using sources such as photographs, paintings, diaries and newspapers"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K11,"Continuities and changes and their consequences on ways of life, living conditions, political and legal institutions and cultural expression around the turn of the 20th century",,Examining the social and political impact of religious sectarianism between Protestants and Catholics in the formation of the Australian nation
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K11,"Continuities and changes and their consequences on ways of life, living conditions, political and legal institutions and cultural expression around the turn of the 20th century",,"Identifying the main features of housing, sanitation, transport, education, agriculture and industry that influenced living and working conditions in Australia around 1900 and comparing them with early colonisation around 1800"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K11,"Continuities and changes and their consequences on ways of life, living conditions, political and legal institutions and cultural expression around the turn of the 20th century",,"Explaining how laws made by the federal parliament, such as those resulting from the Harvester Judgement or the introduction of pensions, affected working conditions and standards of living"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K12,"Interpretations and debates about Australian history between 1750 and 1914, including the Frontier Wars or Australia as social laboratory",,Discussing the interpretation of the colonisation of Australia as an invasion
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K12,"Interpretations and debates about Australian history between 1750 and 1914, including the Frontier Wars or Australia as social laboratory",,Comparing historical interpretations of the Frontier Wars
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K12,"Interpretations and debates about Australian history between 1750 and 1914, including the Frontier Wars or Australia as social laboratory",,Evaluating the characterisation of Australia as the ‘social laboratory of the world’
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K12,"Interpretations and debates about Australian history between 1750 and 1914, including the Frontier Wars or Australia as social laboratory",,Discussing the interpretation of Australia as a ‘working man’s paradise’ using evidence from a range of sources
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australia (1750–1914),VC2HH10K12,"Interpretations and debates about Australian history between 1750 and 1914, including the Frontier Wars or Australia as social laboratory",,Researching the Eumeralla Wars
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K13,The causes of World War I and World War II,,Creating a concept map to analyse the causes of World War I or World War II
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K13,The causes of World War I and World War II,,"Identifying and describing the long-term causes of World War I, such as militarism, the alliance system among European countries in the late 19th and early 20th centuries, imperialism and nationalism, and short-term triggers of World War I, such as the assassination of Archduke Franz Ferdinand of Austria-Hungary, the ‘July Crisis’ and the invasion of Belgium by Germany"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K13,The causes of World War I and World War II,,"Identifying significant events and ideas between World War I and World War II, including the Treaty of Versailles, the Russian Revolution, the Great Depression and the rise of Adolf Hitler and the Nazi Party in Germany from 1933, and evaluating their significance as causes of World War II"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K13,The causes of World War I and World War II,,"Analysing the major events leading up to the outbreak of World War II, such as the Japanese invasion of Manchuria, the Spanish Civil War, the Italo-Abyssinian Wars, the annexation of Austria, the Munich Agreement and the annexation of the Sudetenland, the invasion of Poland in 1939, the occupation of China and the attack on Pearl Harbor in 1941"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K13,The causes of World War I and World War II,,"Evaluating the impacts of the Treaty of Versailles on Germany, the structural weaknesses of the League of Nations, the rise of fascist and militarist regimes, and the failure of appeasement policies as factors contributing to World War II"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K14,"The reasons that Australians, including Aboriginal and Torres Strait Islander Peoples, fought in the world wars",,"Explaining the different perspectives towards war at the beginning of the 20th century, such as notions of war as noble and heroic or as an adventure, and the significance of loyalty to Britain as an aspect of Australian identity"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K14,"The reasons that Australians, including Aboriginal and Torres Strait Islander Peoples, fought in the world wars",,"Examining the responses of Australia’s political leaders to the outbreak of war, such as prime minister Andrew Fisher’s pledge to back Britain ‘to the last man and the last shilling’"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K14,"The reasons that Australians, including Aboriginal and Torres Strait Islander Peoples, fought in the world wars",,"Describing the reasons why Australian men enlisted in the Australian Imperial Force, for example the challenges of living on the land and a need for a regular pay; adventure; to do their duty for the British Empire; the impact of persuasive propaganda posters, pamphlets and leaflets; peer and community pressure"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K14,"The reasons that Australians, including Aboriginal and Torres Strait Islander Peoples, fought in the world wars",,Examining the stories of Aboriginal and Torres Strait Islander men who enlisted in the Australian Imperial Force
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K14,"The reasons that Australians, including Aboriginal and Torres Strait Islander Peoples, fought in the world wars",,Examining the reasons for Australia’s involvement in World War II and prime minister Robert Menzies’ ‘Australia is also at war’ speech
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K14,"The reasons that Australians, including Aboriginal and Torres Strait Islander Peoples, fought in the world wars",,Comparing and contrasting the reasons for Australia’s involvement in World War I and World War II
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K15,Significant places where Australians fought,,"Identifying the places where Australians fought during World War I, such as Gallipoli, Fromelles, the Somme, Pozières, Passchendaele, Bullecourt, Villers-Bretonneux, the Sinai Peninsula, Gaza and Beersheba"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K15,Significant places where Australians fought,,"Identifying places where Australians fought during World War II, such as Greece, North Africa (including Tobruk), Darwin, New Guinea (including Kokoda), Malaya and Singapore, and evaluating their significance to Australia’s war effort and to the war as a global conflict"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K16,"The experiences and perspectives of those who fought or were deployed overseas, including Aboriginal and Torres Strait Islander Peoples and women",,"Comparing and contrasting the different experiences of combat between 1914 and 1945, noting distinctions between the experience of infantry on the Western Front and the Light Horse in Palestine during World War I and that of soldiers in the Greek campaigns, North Africa and the Pacific theatres, naval personnel and aircrews of World War II"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K16,"The experiences and perspectives of those who fought or were deployed overseas, including Aboriginal and Torres Strait Islander Peoples and women",,Researching the roles of Aboriginal and Torres Strait Islander service personnel during World War I and World War II
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K16,"The experiences and perspectives of those who fought or were deployed overseas, including Aboriginal and Torres Strait Islander Peoples and women",,"Comparing the experiences of Australian women deployed overseas during World War I and World War II, such as nurses, using historical sources"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K16,"The experiences and perspectives of those who fought or were deployed overseas, including Aboriginal and Torres Strait Islander Peoples and women",,"Examining the perspectives of those who fought or were deployed overseas using sources such as diaries, letters and newspapers"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K16,"The experiences and perspectives of those who fought or were deployed overseas, including Aboriginal and Torres Strait Islander Peoples and women",,"Comparing the experiences of various prisoners of war (POWs), such as the treatment of Australian POWs under German and Japanese control"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K16,"The experiences and perspectives of those who fought or were deployed overseas, including Aboriginal and Torres Strait Islander Peoples and women",,"Examining the perspectives of particular groups of prisoners of war (POWs), such as those in camps in Ambon or Rabaul, those used as forced labour on the Thai-Burma Railway, or army nurses captured in Singapore"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K17,Significant events and turning points of the world wars,,"Evaluating the significance to Australia of one major World War I battle or campaign, such as Gallipoli, Fromelles, the Somme, Pozières, Passchendaele, Bullecourt, Villers-Bretonneux or Beersheba, and then evaluating its significance to the war from a global perspective"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K17,Significant events and turning points of the world wars,,"Explaining why particular events in Europe between 1939 and 1945, such as Germany’s invasion of Poland in 1939, Operation Barbarossa, Stalingrad, the D Day landings and the Soviets’ capture of Berlin, are significant"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K17,Significant events and turning points of the world wars,,"Ranking the significance of key events and developments of the Asia-Pacific conflict between 1941 and 1945, such as the bombing of Pearl Harbor, the fall of Singapore, the Kokoda campaign, the bombing of Darwin, the Battle of Midway, Iwo Jima, and the dropping of the atomic bombs on Japan"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K17,Significant events and turning points of the world wars,,Investigating the significance of Kokoda as a battle that halted the Japanese advance on Port Moresby and why it helped reinforce the Anzac legend
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K18,Continuities and changes in the nature of warfare,,Comparing the targeting of civilian populations in World War I and World War II and explaining the significance of these differences
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K18,Continuities and changes in the nature of warfare,,"Investigating the nature of trench warfare and the development of military technology, such as the use of tanks, aeroplanes and chemical weapons (gas), during World War I"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K18,Continuities and changes in the nature of warfare,,"Evaluating changing aspects of warfare during World War II, such as Blitzkrieg, air power, bombing campaigns, mass mobilisation of society, targeting of civilian populations and atomic weapons"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K18,Continuities and changes in the nature of warfare,,Examining the race to build the atomic bomb and analysing why the atomic bombs were dropped on Hiroshima and Nagasaki
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K18,Continuities and changes in the nature of warfare,,"Investigating the consequences of the atomic bombs on Hiroshima and Nagasaki, including short- and long-term consequences on human health and short- and long-term environmental impacts on the cities and surrounding areas"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K19,"Significant consequences of the world wars on Australian society and the experiences and historical perspectives of those on the home front, including Aboriginal and Torres Strait Islander Peoples and women",,"Investigating the consequences of World War II on the changing roles of women in Australia during the war, for example women in the military, the Women’s Land Army and factory work, contrasted with the continuities of their roles before and after the war"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K19,"Significant consequences of the world wars on Australian society and the experiences and historical perspectives of those on the home front, including Aboriginal and Torres Strait Islander Peoples and women",,"Investigating the impact of World War II at a local and national level, such as the bombing of Darwin, the Japanese submarine attack on Sydney and the sinking of ships off the Australian coast, the ‘Battle of Brisbane’, the Cowra breakout and the Brisbane Line"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Australians at war (1914–1945),VC2HH10K19,"Significant consequences of the world wars on Australian society and the experiences and historical perspectives of those on the home front, including Aboriginal and Torres Strait Islander Peoples and women",,"Describing the consequences of changes to individual rights and freedoms because of the National Security Act 1939, such as censorship of the media; detention of Japanese, German and Italian residents; banning groups opposed to the war on political or religious grounds; and controls over the workforce (‘manpower controls’)"
