Subject,Term,Definition
Visual Communication Design,Country,"The physical environment that a particular Aboriginal and Torres Strait Islander Peoples' group has a relationship with. Referring to this territory as 'Country', rather than land, indicates a reciprocal and deep relationship and one where Country both owns and is owned by the People. The concept of Country includes lands, waters and sky."
Visual Communication Design,Critical and creative thinking,"Critical and creative thinking involves the application of skills, behaviours and dispositions such as reasoning, logic, imagination and innovation. This capability can be consciously developed through the application of metacognitive skills."
Visual Communication Design,Cultural appropriation,"The unacknowledged and/or inappropriate adoption of the customs, practices or ideas of a cultural group or individual."
Visual Communication Design,Cultural influences,"Artists, artistic practice and artworks can be influenced by culture. Cultural influences can be represented in an artwork through symbols. The values, beliefs and practices of an artist can be influenced by their culture."
Visual Communication Design,Cultural knowledge,Knowledge held by a person with cultural authority.
Visual Communication Design,Cultural practices,"Demonstration of the traditions of a culture, such as through the processes, art forms and symbolism in artworks and visual communication designs."
Visual Communication Design,Culture,"A body of beliefs, attitudes, language(s), skills, knowledge, laws, customs and tools by which communities structure and organise their lives and interactions."
Visual Communication Design,Design elements,"In Visual Communication Design, the design elements include point, line, shape, form, tone, texture, colour and type."
Visual Communication Design,Designed solutions,"The objects, services or environments that have been created for a specific purpose or intention as a result of design thinking and the visual communication design process."
Visual Communication Design,Designer,"Designers work individually and collaboratively using design practices to create visual communication designs and solutions across diverse fields of practice and in different cultures, contexts, times and places. In Visual Communication Design, designers use the visual communication design process, design thinking, methods, media, materials and visual language in their work."
Visual Communication Design,Design principles,"The design principles are the conventions used to arrange and organise the design elements. Design principles include figure--ground, balance, contrast, cropping, hierarchy, scale, proportion and pattern (repetition and alternation)."
Visual Communication Design,Design thinking,"An approach that helps people to empathise and understand needs, opportunities and problems; generate, iterate and represent innovative, user-centred ideas; and analyse and evaluate those ideas. Divergent and convergent thinking are characteristics of design thinking."
Visual Communication Design,Digital media,"Digital media are the applications used to create visual communication designs. Digital media examples include software, hardware, apps and online platforms used to create and display artworks. Screen-based works, concept art, animations and 2D, 3D and 4D presentations can be created with digital media."
Visual Communication Design,Digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
Visual Communication Design,Divergent thinking,"Divergent thinking is open-minded, curious and imaginative. It suspends judgement, focusing instead on the multiple ways a problem might be solved in unusual, creative or unexpected ways."
Visual Communication Design,Documentation drawings,"[Documentation drawings refer to the detailed visual representations that are created to document the technical specifications of a design. These drawings typically include orthogonal drawings, architectural plans, elevations and sections, packaging nets and technical flats, perspective drawings and paraline drawings. They are used to communicate precise measurements, materials and construction details]{.mark}."
Visual Communication Design,Environments,"Environments are designed for indoor, outdoor and virtual spaces. Environments can include residential and commercial buildings, interiors, performance and exhibition spaces, parks, streetscapes, gardens and the environments for films and video games."
Visual Communication Design,Exhibition,"A formal or informal display of visual arts work and/or visual arts practice for audiences, including sharing work with peers, a curated exhibition in a formal space and/or on online platforms."
Visual Communication Design,Exploded view,An image of an object with individual parts shown separately but arranged to show the relationship and position of the parts for assembly.
Visual Communication Design,Fields of design practice,"The scope of design practice including the design of physical objects and environments, improvement of experiences and interactions in larger systems and environments. Design fields include messages, objects, environments and interactive experiences."
Visual Communication Design,Format,"The plan or style of a visual communication design. The format is the physical or virtual representation of concepts, messages and information."
Visual Communication Design,'good design',"The concept of 'good design' comes from cultural understandings, and personal experiences including social, cultural and historical factors that influence behaviours, values and attitudes. Examples of good design include Dieter Rams' *Ten principles for good design*."
Visual Communication Design,Human-centred design,"Practices that focus on resolving design problems that impact the lives of people, communities and societies. Designers apply research methods that delve into the habits, experiences and mindsets of individuals and groups. Human-centred research methods include interviews, surveys, focus groups, competitor analysis and audience or user research."
Visual Communication Design,Hybrid art forms/artworks,"An art form where 2 or more art forms are combined into one artwork or the artist creates artworks using a combination of forms. Examples of hybrid art forms include print and screen productions, and immersive gaming experiences. With the combination of art forms, a new art form is made or the art forms used are modified. *See also:* multi-arts/multimedia"
Visual Communication Design,Idea,"A thought, notion or impression. Visual communication design communicates ideas to specific audiences."
Visual Communication Design,Indigenous Cultural and Intellectual Property (ICIP),"The rights of Aboriginal and Torres Strait Islander Peoples to own and control their cultural heritage. It refers to all aspects of cultural heritage, including the tangible (e.g. cultural objects) and intangible (e.g. knowledge)."
Visual Communication Design,Interactive experiences,"Interactive experiences are designed for both the physical world and online, ensuring the objectives of users are met when engaging with a product, system or service. The design of interactive experiences considers the aesthetic qualities and usability of customer touchpoints, wayfinding systems and interfaces encountered in physical spaces or on digital devices including apps, online platforms and social networking services. These can include the display, layout and relationship of icons, symbols, images and type, as well as additional elements such as sound and animation."
Visual Communication Design,Interdisciplinary,"The creation and production of artworks using more than one arts discipline. Across the Arts curriculum, students can make artworks using the knowledge of the practices of various arts disciplines, for example the creation of performance works using the knowledge and skills of music, drama and visual arts. *See also:* transdisciplinary"
Visual Communication Design,Maquette,"A scaled model of an object or structure made from materials such as clay, paper, cardboard or plastic. Maquettes can be created using digital modelling software in virtual environments."
Visual Communication Design,Materials,"Visual communication designs are made using a wide range of materials. These may include paper, card, screen, textile, metal, plastic or glass."
Visual Communication Design,Media,"The manual and digital applications used to visually communicate ideas and information. - Manual media can include pencil, ink, markers, paint and analog film. - Digital media can include software, apps and online platforms used for graphic, game or interaction design, web development, concept art, illustration, 3D modelling and rendering, photo editing and animation."
Visual Communication Design,Methods,"Manual or digital processes used to generate, develop, refine and resolve design ideas, concepts and solutions. Methods can include drawing, collage, printing, photography, model-making and prototyping."
Visual Communication Design,Messages,"Messages are communicated to audiences using visual language. Messages can include brand strategy, wayfinding, advertising and social media campaigns, visual merchandising, publications, signage, illustrations, printed collateral, products and packaging."
Visual Communication Design,Model,"A visual or physical representation that describes, simplifies, clarifies or gives an explanation of the workings, structure or relationships within an object, system or idea. Models can be constructed using physical materials such as paper, cardboard and plastic, while virtual or visual models can be created using 3D modelling software or 3D printing."
Visual Communication Design,Multi-arts/multimedia,"A combination of different art forms in one artwork; a work or practice that expands beyond one art form. In contemporary art practice, multimedia artworks are made from a combination of electronic media such as video, film, audio and computer hardware and software. Multimedia practices include the development, creation and production of content for digital products and services, providing electronic access to information services and broadcasting radio and television programs on the internet. *See also:* hybrid art forms/artworks"
Visual Communication Design,Objects,"Objects are designed to improve the quality of life for people, communities and societies, while also upgrading or improving existing designs. Objects can include products and packaging, furniture, fittings and homewares, transport, appliances, tools and machinery, costumes, toys, devices, industrial products, furniture, jewellery, textiles and fashion."
Visual Communication Design,Orthogonal drawing,"A scaled multi-view drawing of a 3D object to show each view separately, in a series of 2D drawings."
Visual Communication Design,Perspective drawing,"A drawing that represents the way objects appear to be smaller and closer together, the further away they are. Perspective drawings show 3 different spatial viewpoints."
Visual Communication Design,Physical space,"An environment to exhibit, present or display artworks. Physical spaces can include galleries, environments where physical artworks and visual communication designs, including traditional works (e.g. posters, models, presentation boards and prints) and sound-based, moving-image and screen-based presentations, are presented."
Visual Communication Design,Pictorial and aerial views,"Drawings or maps showing objects from different angles. Pictorial views are 3D on a 2D surface, and aerial views are drawings from a height or a wide angle."
Visual Communication Design,Place,"'Place' is significant for Aboriginal and Torres Strait Islander Peoples. For Torres Strait Islander Peoples, 'Place' is a space mapped out that Torres Strait Islander individuals or groups occupy and regard as their own and that has varying degrees of spirituality. It includes lands, waters and sky. For Aboriginal Peoples, 'Place' refers to the special places that exist within Country, the purposes of which vary significantly. They can include places of ceremony and initiation, birth and the provision of healing and health care; places of learning; and places for Sorry Business. These places vary greatly over the various landscapes and seascapes across the continent. There are some parts of Country that have landmarks that directly relate to the ancestor spirits and the creation of existence. These are especially important as culturally significant places and need to be cared for. There are also other places on Country that are important for ceremony, as mentioned above, which are also considered especially important for Aboriginal communities."
Visual Communication Design,Practices,"An integral process of conceptualising, developing, making and presenting visual communication designs. The thinking and working processes of a designer."
Visual Communication Design,Presentation drawings,"[Presentation drawings refer to visual representations created by designers to communicate and showcase their design concepts to clients, stakeholders or other audiences. These drawings can be manually or digitally created, and can take the form of rendered impressions of buildings, environments or objects, illustrations, documentation drawings or storyboards.]{.mark}"
Visual Communication Design,Protocols,"Rules, practices and customs of a group. Respectful ways of interacting with and experiencing the arts, including protocols for protecting Indigenous Cultural and Intellectual Property (ICIP) rights."
Visual Communication Design,Processes,"The methods and steps used to develop, make and present visual communication designs using methods, media, materials and technologies."
Visual Communication Design,Prototyping,A range of techniques used to fabricate a scale model of an object or environment. Construction of the scale model can be done using digital or manual tools.
Visual Communication Design,Refine,"To bring together concepts in a visual communication design particularly through the use of technical skill, technical conventions and processes using methods, materials and media. Refinement occurs in the 'develop' and 'deliver' aspects of the visual communication design process."
Visual Communication Design,Region/regional,"An area of the world sharing common characteristics, for example a geographical region such as the Mallee region in Victoria or a regional intergovernmental organisation such as the Association of Southeast Asian Nations (ASEAN)."
Visual Communication Design,Rendered,"A drawing technique that shows the form of objects using texture, colour, light, shade and tone."
Visual Communication Design,Resolve,"A final step in the creation or production of a visual communication design where the designer considers how to finalise the presentation and communication of concepts to the target audience, considering the conventions of the design field and the methods, media and materials used in the production of the visual communication design. Resolution occurs in the 'develop' and 'deliver' phases of the visual communication design process."
Visual Communication Design,Style,"The distinctive characteristics of an art form, artwork or arts practice that allow them to be grouped into related categories, by culture, time, place or other contexts."
Visual Communication Design,Technical drawing conventions,"'Rules' for the presentation of technical drawings such as the layout of the drawing, dimensions, symbols and scales. Technical drawing is a term generally used to describe representations of 3D objects, constructions or environments produced using specialised equipment or instruments. Technical drawings can be produced both manually and using digital applications. Students might also use 'technical' drawing equipment, processes or software to produce the drawings."
Visual Communication Design,Techniques,"The knowledge and skills used in making an artwork in a specific art form using tools, technologies, media and materials."
Visual Communication Design,Technologies,"In Visual Communication Design, digital (e.g. hardware and software) and analog (e.g. pencils, paper, markers and ink) technologies are used by designers to produce visual communication designs. Technologies are also used to present visual communication designs including screens, projections and audio technologies."
Visual Communication Design,Traditional Owners,The people recognised as having an unbroken connection to a particular Aboriginal or Torres Strait Islander Country or Place. They are often important knowledge keepers and responsible for caring for Country or Place and the people who live there.
Visual Communication Design,Transdisciplinary,"The creation and production of artworks using more than one arts discipline. Across the Arts curriculum students can make artworks using the knowledge of the practices of various arts disciplines, for example the creation of a website with interactive elements using the knowledge and skills of visual communication design, media and visual arts. Transdisciplinary artworks differ from interdisciplinary art forms and artworks as, similarly to multi-art forms and artworks, the use of transdisciplinary practices can evolve new art forms and practices. *See also:* interdisciplinary; multi-arts/multimedia"
Visual Communication Design,Typographic conventions,"'Rules' for the presentation of type such as the layout of type, tracking, kerning, spacing and formatting. Typography refers to the processes of working with the element of type."
Visual Communication Design,Values,Ideas and beliefs specific to individuals and groups.
Visual Communication Design,Viewpoints,"Viewpoints are an inquiry tool to consider ideas, concepts, practices and processes used to create artworks. Viewpoints allow students to investigate visual communication designs and practices from multiple perspectives."
Visual Communication Design,Virtual,"Representation on a screen or ephemeral environment in contrast to physical existence. Virtual works are often sound-based, moving-image and time-based works. Virtual settings and exhibitions of artworks are the presentation or display of works online or on a screen creating a similar experience for the user or audience as if they were experiencing the work in a physical space. Virtual spaces/settings/exhibitions include sequenced presentations of artworks, websites, virtual galleries, video works and projections."
Visual Communication Design,Visual communication design practices,"Using design thinking and the visual communication design process, designers discover, define, develop and deliver design solutions. The use of drawings to visually represent relationships, ideas and appearances, and the production of models and prototypes for the purposes of testing and presentation are integral to visual communication design practice."
Visual Communication Design,Visual communication design process,"The visual communication design process is the process used to create visual communication designs. The process is iterative and passes through and revisits 4 distinct phases. - *Discover:* Researching and gathering insights into the problem at hand to understand the needs and experiences of audiences and stakeholders. - *Define:* Using convergent thinking strategies to make sense of research data by synthesising and clarifying the problem at hand. The designer identifies a client and their communication needs, and details the purpose, context, audience and users as well as a list of constraints. - *Develop:* Using divergent thinking strategies to seek and analyse inspiration from a wider range of sources, generating imaginative ideas aligned with the communication need. The designer uses methods, media, materials, design elements and design principles to create, recreate and explore the potential of design ideas. - *Deliver:* Using convergent thinking strategies to reflect critically on their ideas. The designer uses design criteria and feedback to select potential solutions and concepts to evaluate and refine further. They choose appropriate formats to communicate and present finished design solutions."
Visual Communication Design,Visual language,Visual language is a system of communication where ideas and information are conveyed to audiences through visual means. The design elements and principles are integral to the creation of visual language and its purpose.
