Subject,Term,Definition
Health and Physical Education,Movement elements,"The variables that are combined in composing and performing movement. The elements of movement are effort, time, space and relationships."
Health and Physical Education,Movement sequence,A combination of skills and movement elements to enable a body or objects to move in response to a stimulus; a planned order of movements.
Health and Physical Education,Movement situation,"A situation where students are moving with the intent of achieving an outcome, such as to score a goal, perform a sequence of movements, retain possession or cross a creek."
Health and Physical Education,Movement strategies,"A variety of approaches that will help a player or team to successfully achieve a movement outcome or goal. Movement strategies include moving into space to receive a pass from a teammate, hitting the ball away from opponents in order to make it difficult for them to retrieve or return it, or timing a sprint to finish a race strongly. Different games and sports may require similar activities or goals and will therefore use similar movement strategies to achieve success."
Health and Physical Education,Non-locomotor skills,"Moving on the spot without any change in location. Non-locomotor skills include twisting (the rotation of a selected body part around its long axis), bending (moving a joint), swaying (fluidly and gradually shifting the centre of gravity from one body part to another), stretching (moving body parts away from the centre of gravity), turning (rotating the body along the long axis) and swinging (smooth, rhythmic motion of a body part resembling a pendulum)."
Health and Physical Education,Object control skills,"Skills that require the ability to handle an object or piece of equipment with control, such as kicking, striking, dribbling, propelling or stopping a ball."
Health and Physical Education,Online tools,"Digital hardware, software, platforms and resources that are connected and support communications between users. Examples of online tools include websites for online shopping, and fitness apps."
Health and Physical Education,Outdoor environment,"Environments both near (local to a school) and far, that range from having experienced minimal human intervention to those that have undergone significant human intervention."
Health and Physical Education,Outdoor learning,"A pedagogical approach that engages students in practical and active learning experiences in outdoor environments, typically beyond the school boundary."
Health and Physical Education,Personal qualities,"Characteristics that make you who you are, including knowledge and skills that you bring to your work, and those attributes that define how you will go about applying yourself to a role or task."
Health and Physical Education,Physical activity,"The process of moving the body that results in energy expenditure. 'Physical activity' is a broad term that includes playing sport, exercise and fitness activities such as dance, yoga and tai chi, everyday activities such as walking to work, household chores and gardening, and many other forms of active recreation."
Health and Physical Education,Physical fitness,"A measure of the body's ability to function efficiently, effectively and without injury in work and leisure activities, to pursue recreational activities and to cope with emergency situations. It is commonly conceptualised as being made up of health-related components (such as cardio-respiratory fitness, flexibility, muscular endurance and strength) and skill-related components (such as agility, balance, coordination, reactions, rhythm, power and speed)."
Health and Physical Education,Physical health,A state of physical wellbeing in which a person is physically able to perform their daily activities without restrictions.
Health and Physical Education,Play,"Any activity that is positively valued by the player, self-motivated, freely chosen and engaging."
Health and Physical Education,Power,A sense of control; having choices and the ability to influence our environment and others.
Health and Physical Education,Protective behaviours,Behaviours that enable children to recognise and respond to situations in which their personal space and sense of safety may be compromised.
Health and Physical Education,Resilience,"The capacity to deal constructively with change or challenge, allowing the person to maintain or re-establish their social and emotional wellbeing in the face of difficult events. It involves thoughts, feelings and actions."
Health and Physical Education,Respect,"Behaviour that acknowledges and takes account of the rights, needs, wishes and feelings of others."
Health and Physical Education,Respectful relationships,"Connections characterised by non-violence, equality, mutual respect and consideration, and trust."
Health and Physical Education,Safety,"Freedom from danger, injury or harm -- achieved by assessing risk, making safe decisions and acting in ways that ensure the safety of the individual and others."
Health and Physical Education,Sedentary behaviour,"Activities that do not increase energy expenditure higher than resting levels; for example, watching television, gaming, or using a computer and other devices."
Health and Physical Education,Sexual health,"A state of physical, mental and social wellbeing in relation to sexuality. It requires a positive and respectful approach to sexuality and sexual relationships, as well as the possibility of having pleasurable and safe sexual experiences, free of coercion, discrimination or violence."
Health and Physical Education,Sexuality,"A central aspect of being human throughout life. Sexuality encompasses sex, gender identities and roles, sexual orientation, pleasure, intimacy and reproduction, and is influenced by the interaction of contextual factors. It is experienced and expressed in thoughts, feelings, desires, beliefs, attributes, values, behaviours, practices, roles and relationships."
Health and Physical Education,Skill-related fitness,"Physical fitness is considered a measure of the body's ability to function efficiently, effectively and without injury in work and leisure activities, to pursue recreational activities and to cope with emergency situations. Skill-related fitness includes components such as agility, balance, coordination, reactions, rhythm, power and speed."
Health and Physical Education,Social health,"Social health is concerned with how individuals interact with the people around them, and with social institutions, and social values and norms."
Health and Physical Education,Specialised movement skills,"Movement skills that are required in more organised games and activities. Examples of specialised movement skills include fielding a groundball in softball, climbing a rock wall, and performing a grapevine step in dance."
Health and Physical Education,Spiritual health,"A positive sense of belonging, meaning and purpose in life. It includes values and beliefs that influence the way people live, and can be influenced by an individual's connection to themselves, others, nature and beyond."
Health and Physical Education,Sport,"A human activity that has physical exertion and skills as the primary focus, with elements of competition, and for which rules and patterns of behaviour governing the activity exist formally through organisations."
Health and Physical Education,Strengths-based approach,"Focuses on the capacities, competencies, values and hopes of all students, regardless of their current circumstances, to optimise their own health and that of others. Its foundation is the concept of salutogenesis, which looks to extend preventive health to the creation of health through individual, community and societal resources and assets."
Health and Physical Education,Techniques,"Movement patterns that support skilled performance, such as throwing, catching and jumping. Technical ability is only one aspect of skilled performance."
Health and Physical Education,Transitions,"The internal processes or psychological reorientation people experience as a result of change, which usually involve establishing new behaviours or new ways of thinking before the change can work. Individuals experience transitions in different ways and at different rates. Transition involves 3 stages: letting go of the way things are or used to be, a period of exploration and adjustment, and a final stage where new behaviours and ways of working evolve."
Health and Physical Education,Trusted adults,"Reliable people who children feel comfortable talking to if they are upset or need help when engaged in online activities. They might include family members, carers and teachers."
Health and Physical Education,Upstander,Someone who chooses to support a person who is being abused or harmed.
Health and Physical Education,Values,Ideas and beliefs specific to individuals and groups.
Health and Physical Education,Wellbeing,"A sense of wellness and quality of life or the capacity of an individual to look after their own or others' health, safety and relationships, including developing and maintaining a healthy relationship with digital tools. Relates to the dispositions of optimism, openness, curiosity and resilience."
