Subject,Term,Definition
Geography,Fieldwork,"Active and firsthand collection, examination, interpretation and analysis of materials in relation to Geographical Inquiry questions, often conducted from outside the classroom at a local scale."
Geography,Food security,The existence of food supplies that are reliable and of a sufficient quality and quantity to maintain human life.
Geography,Geographical concepts,"Change, environment, interconnection, place, scale, space, spatial association and sustainability."
Geography,Geographical diversity,"The different range of environments and varied ways of living in a region, which can be influenced by a range of factors, for example climate, topography, beliefs, social structures and culture."
Geography,Geographical divisions of the world,"Divisions of Earth\'s surface based on human-defined scales (e.g., local, state or territory, national, regional and global)."
Geography,Geological or geophysical hazards or hazard events,Processes associated with the dynamics of plate tectonics.
Geography,Geomorphological processes,Physical and chemical interactions between the Earth\'s surface and environmental processes (e.g. geology and climate) that produce or shape landforms.
Geography,Geospatial technologies,"Tools (software or hardware) that enable the collection, storage, mapping, representation and visualisation of the occurrence of geographical phenomena and issues, used for analysis of causes and effects."
Geography,Global citizen,"Those who understand their rights and responsibilities at a global level; that is, one's identity transcends geography or political borders, and rights and responsibilities are derived from being human. However, these rights and responsibilities do not have the legal authority or sanctions that those given by a nation have."
Geography,Hazard,"A threat that arises from environmental processes or human activities that has the potential to cause loss of life, injury, property damage, socioeconomic disruption or environmental degradation."
Geography,Hazard event,When a hazard is realised.
Geography,"Hazard prevention, preparedness, response and recovery",The 4 phases of hazard and disaster management.
Geography,Highly urbanised countries,Countries where a high percentage of the population lives in urban areas.
Geography,Human rights,"The basic rights and freedoms to which all humans are entitled, often held to include the right to life and liberty, freedom of thought and expression, and equality before the law."
Geography,Human wellbeing,"A person\'s satisfaction and wellness or quality of life as measured using objective indicators (e.g. life expectancy, educational attainment and income) and subjective indicators (e.g. perceptions and happiness surveys)."
Geography,Hydrometeorological hazard,"These are also known as atmospheric or climatic hazards and include droughts, floods, storms and bushfires."
Geography,Hydrosphere,"One of the interconnected systems of Earth, it comprises the combined mass of water found on, under, and above the surface of Earth."
Geography,Internal migration,"The movement of people from living in one defined area to another within the same country, for example movement from cities to non-metropolitan coastal locations, or from one state or territory to another."
Geography,International migration,"The movement of people across international borders for the purpose of becoming citizens or permanent residents, for example moving from one country to another."
Geography,Land and water degradation,"Threats to the function of land and water resources, for example salinity, soil erosion, soil fertility decline, soil acidification, invasive plants, pollution, and loss of biodiversity and habitats."
Geography,Landform,"An individual surface feature of Earth identified by its shape, for example dune, plateau, canyon, beach, plain, hill, river or valley."
Geography,Landscapes,"The visible appearance of an area, created by a combination of geological, geomorphological, biological and cultural layers that have evolved over time, and as perceived and valued by people."
Geography,Liveability,"The use of criteria to assess what a place is like to live in, such as environmental quality, education and health provision, or availability of recreational facilities."
Geography,Location,"A position or site marked by a distinguishing feature, where a particular point or object exists."
Geography,Migration,"The movement of people from living in one defined area to another, for example internal migration within the same country, or international migration between different countries."
Geography,Non-government organisations,"Non-profit, voluntary or independent groups, organised at a local, national or international level, whose purpose is to address social or political issues such as humanitarian or environmental causes. Examples include Landcare (national) and World Vision (international)."
Geography,Non-renewable,"Of or relating to resources developed by geological processes over time, that cannot be replenished quickly and that are finite, such as mineral deposits and fossil fuels."
Geography,Pandemic,A worldwide spread of a new disease.
Geography,Personal viewpoint,Subjective assessment of places and environments using criteria and taking into account lived experience and the attitudes of others.
Geography,Pictorial map,"A map that represents and provides a visualisation of features in a landscape, without a focus on aerial perspective, scale or other conventions."
Geography,Place,"'Place' is significant for Aboriginal and Torres Strait Islander Peoples. For Torres Strait Islander Peoples, 'Place' is a space mapped out that Torres Strait Islander individuals or groups occupy and regard as their own and that has varying degrees of spirituality. It includes lands, waters and sky. For Aboriginal Peoples, 'Place' refers to the special places that exist within Country, the purposes of which vary significantly. They can include places of ceremony and initiation, birth and the provision of healing and health care; places of learning; and places for Sorry Business. These places vary greatly over the various landscapes and seascapes across the continent. There are some parts of Country that have landmarks that directly relate to the ancestor spirits and the creation of existence. These are especially important as culturally significant places and need to be cared for. There are also other places on Country that are important for ceremony, as mentioned above, which are also considered especially important for Aboriginal communities."
Geography,Primary source,"Materials collected firsthand or from fieldwork related to a geographical inquiry, for example by recording observations, completing field sketches or conducting surveys and interviews."
Geography,Region/regional,"An area of the world sharing common characteristics, for example a geographical region such as the Mallee region in Victoria. The term can also be used in relation to regional intergovernmental organisations such as the Association of South-East Asian Nations (ASEAN)."
Geography,Renewable,"Of or relating to resources that can be replenished because they are naturally replaced, such as solar power, animal life and timber."
Geography,Secondary source,"Researched materials related to a geographical inquiry, for example published research, and data and information collected from the internet, libraries, archives, and government or non-government agency reports."
Geography,Settlement,"A place where people live, with types of settlements ranging in size from a single dwelling in a rural or remote area to a city."
Geography,Settlement pattern,"The spatial distribution of human settlement types, with smaller types typically forming patterns around larger ones. Settlement types include isolated dwellings, villages, towns, regional centres and large cities."
Geography,Sketch map,"Simple drawings of the landscape. They show things that are sometimes not visible in photographs or maps, for example the impacts of tourists on a landscape. Sketch maps may be shown as a bird\'s-eye view or as a drawing of the horizon."
Geography,Social connectedness,"The interconnections between people and their community, locally and globally, that influence how people live, how they make sense of their identity and belonging, and how they understand the impacts they have on each other. Also known as cultural connectedness."
Geography,Spatial difference,How and why geographic phenomena differ in arrangement across the Earth\'s surface.
Geography,Topography,"The Earth\'s surface, including the arrangement or shape of natural and human features, for example undulating topography."
Geography,Trade,The import (buying) and export (selling) of goods and services in an economy.
Geography,Traditional Owners,The people recognised as having an unbroken connection to a particular Aboriginal or Torres Strait Islander Country or Place. They are often important knowledge keepers and responsible for caring for Country or Place and the people who live there.
Geography,Types of resources,"Resources can be categorised as natural or land (e.g. water, coal, wheat), human or labour (e.g. workers, business owners, volunteers), capital (e.g. tools, machines, technologies) and enterprise (e.g. entrepreneurial behaviours)."
Geography,Urban concentration,The percentage of the urban population of a country or region living in the largest city.
Geography,Urbanisation,The process of economic and social change in which an increasing proportion of the population of a country or region lives in urban areas.
Geography,Urban place,"A developed place where people live, which has a density of human structures and often a high population density, for example towns, cities and suburbs."
Geography,Values,Ideas and beliefs specific to individuals and groups.
Geography,Value of places,"People\'s recognition of, attachment to, emotional feelings about, or identification with special or significant places that contribute to a sense of belonging, identity or wellbeing."
Geography,Vegetation,"Plant life or plant cover arranged across the Earth\'s surface, for example trees, grasses or mosses."
Geography,Vegetation types,"Types of vegetation forest, woodland, savannah, grassland and desert."
Geography,Water resource,"A natural resource existing in different forms (e.g. freshwater, groundwater and precipitation), irregularly distributed and useful to people and their activities (e.g. agriculture, industry, household)."
Geography,Water scarcity,"A lack of sufficient available water resources to meet a demand, caused by water shortage (physical), lack of money to use an adequate water source (economic) or unequal distribution of water resources."
Geography,Weather,"The state of the atmosphere at a particular place and time, for example windiness, temperature, atmospheric pressure, humidity, precipitation and cloudiness."
