Subject,Term,Definition
Music,Elements of music,"Duration (including tempo, rhythm and metre): the organisation of sound and silence and their lengths in music. Pitch: the relative highness or lowness of sound. Pitch occurs horizontally (as in a melody) and vertically (as in harmony). Tone colour/timbre: the characteristic quality of sound sources and their combinations. Texture: how sounds are combined, and how they interact and function as a piece of music (layers of sound). Structure/form: the organisation of a piece of music described by identifying what is the same and what is different and the ordering of ideas in the piece. Dynamics: the relative volume (loudness) and intensity of sound. Articulation: how specific notes or passages are played or sung, for example detached (staccato), smooth (legato), plucked (pizzicato) or accented."
Music,Embodied practices,"Describes aesthetic, sensory, cognitive and physical engagement through stillness, movement, exploration of space or working with materials, used to generate, develop or communicate ideas or meaning."
Music,Expression,The manipulation of the elements of music and compositional devices to create specific effects in a personal response to the music.
Music,Form,"The structure of a music work (e.g. 32-bar song form, 12-bar blues, binary/AB or theme and variations)."
Music,Genre,"In music, a term that implies an accepted class, type or category of music that adheres to a shared tradition, set of conventions or common characteristics or quality, such as opera, string quartet, jazz trio, marches, fanfares and dance music."
Music,Improvisation,"In music, extending and varying music ideas in response to initial material or responses to music ideas generated by other performers."
Music,Indigenous Cultural and Intellectual Property (ICIP),"The rights of Aboriginal and Torres Strait Islander Peoples to own and control their cultural heritage. It refers to all aspects of cultural heritage, including the tangible (e.g. cultural objects) and intangible (e.g. knowledge)."
Music,Interval,The distance between one pitch and another.
Music,Lead-sheet,"A form of music notation specifying only the essential elements of a popular song, usually the melody, lyrics and chords."
Music,Listening skills,"Auditory awareness, discrimination, memory, sequencing and imagination may be demonstrated by oral, written or physical responses to hearing music works or isolated elements of music."
Music,Multi-arts,Relating to more than one art form.
Music,Music-making,"Playing, creating, composing or arranging music."
Music,Music production,"A process by which music is created, captured, manipulated and preserved using digital tools."
Music,Notation/documentation,"Written symbols that represent and communicate sound. Notation can be invented, recognisable to a traditional style or culture or digitally created."
Music,Performance skills,These are evident when well-prepared music is presented confidently to an audience with focus and clear intentions.
Music,Performance style,"A type of expression communicated for a particular effect with distinguishing features and appearance, performance styles are defined by the way conventions and other elements are used in performance."
Music,Personal voice,"Ability to understand music works at a deeper level, and experiment with a variety of techniques and interpretations to make critical decisions about how a final performance will be executed."
Music,Pitch,"In music, the highness or lowness of a sound."
Music,Pitch awareness,"Being mindful of whether you are singing or playing at exactly the same pitch as someone else, or whether you are higher or lower."
Music,Place,"'Place' is significant for Aboriginal and Torres Strait Islander Peoples. For Torres Strait Islander Peoples, 'Place' is a space mapped out that Torres Strait Islander individuals or groups occupy and regard as their own and that has varying degrees of spirituality. It includes lands, waters and sky. For Aboriginal Peoples, 'Place' refers to the special places that exist within Country, the purposes of which vary significantly. They can include places of ceremony and initiation, birth and the provision of healing and health care; places of learning; and places for Sorry Business. These places vary greatly over the various landscapes and seascapes across the continent. There are some parts of Country that have landmarks that directly relate to the ancestor spirits and the creation of existence. These are especially important as culturally significant places and need to be cared for. There are also other places on Country that are important for ceremony, as mentioned above, which are also considered especially important for Aboriginal communities."
Music,Practice,"The application of arts skills and knowledge to create, represent, communicate and respond in a specific arts discipline, form, tradition, style and/or genre. In any arts discipline, the practices of making and responding are interdependent and interactive. For example, the practices of interpreting, analysing, comparing, contrasting, reflecting, evaluating and appreciating can inform the art-making process. In music, practices include listening, improvising, composing, arranging, conducting, singing, playing, recording, notating, practising, rehearsing, presenting and performing."
Music,Practise,"Regularly revise, develop and consolidate skills, techniques and repertoire as a class or as an individual."
Music,Protocols,"Rules, practices and customs of a group. Respectful ways of interacting with and experiencing the arts, including protocols for protecting Indigenous Cultural and Intellectual Property (ICIP) rights."
Music,Re-imagining,Taking an existing music work and making alterations (small or large) to elements of music to change the feel or style of the existing work.
Music,Rhythm,"In music, combinations of long and short sounds that convey a sense of movement; the subdivision of sound within a beat."
Music,Score,"A collection of notated representations of sound used to communicate musical information. Scores can use graphic, traditional, invented or stylistically specific symbols."
Music,Sequence,"The linking together of a series of ideas, much like words are linked together to form sentences and paragraphs. In music, a sequence is a melodic, rhythmic or harmonic pattern that is repeated. It can also describe the process or product of arranging blocks of music using 'sequencing' software."
Music,Staff notation,"In Western music notation, the set of 5 horizontal lines and 4 spaces that are used to represent pitch."
Music,Stimulus material,"Anything that acts as inspiration for generating or developing ideas for artworks, including the world of the student, images, experiences, observations, provocations, sounds and texts."
Music,Style,"The distinctive characteristics of an arts form, artwork and/or arts practice that allow them to be grouped into related categories by culture, time, place, instruments used, etc. (e.g. romantic, hip hop, country or minimalism)."
Music,Technical skills,"Combination of proficiencies in control, accuracy, alignment, strength, balance and coordination in an art form that develop with practice. In music, this includes proficiencies developed with practise in order to sing or play instruments."
Music,Technique,"In music, the capacity to control a voice or instrument in order to produce, control and vary a desired sound."
Music,Tone colour/timbre,"The particular tone, colour or quality that distinguishes sound or combinations of sounds."
Music,Tone,"In music, tone refers to the particular characteristics of a sound. A tone is also a description used to measure the distance of one pitch from another. A semitone is the distance on a keyboard from one note to the very next note (black or white) and a tone is the distance of 2 semitones."
Music,Values,Ideas and beliefs specific to individuals and groups.
Music,Viewpoints,"A collection of perspectives, lenses or frames through which artworks (including music works) can be explored and interpreted."
