Subject,Term,Definition
Civics and Citizenship,Multi-faith,"A term used to describe a society that is characterised by support for or free activity of religions, within the bounds of the law."
Civics and Citizenship,Pluralism,"A principle that recognises and promotes diversity within a society, including but not limited to cultural and religious diversity."
Civics and Citizenship,Referendum,"The principle or practice of referring measures proposed or passed by a legislative body to the vote of the electorate for approval or rejection. In Australia, a referendum is a vote of the Australian electors on a proposed change to the Constitution by the Commonwealth Parliament that must be approved by a majority of the aggregate of all voters from each state and territory, and also by a majority of voters in a majority of the states (4 or more of the 6 states)."
Civics and Citizenship,Region/regional,"An area of the world grouped by common characteristics (e.g. a geographical region, such as South East Queensland or a regional intergovernmental organisation, such as the Association of South-East Asian Nations (ASEAN))."
Civics and Citizenship,Representative democracy,A system of government in which electors choose representatives to a parliament to make laws on their behalf.
Civics and Citizenship,Rights and responsibilities,"Entitlements and obligations that are associated with citizenship. They are a cornerstone of modern democracies. While there are many rights a citizen may enjoy (e.g. freedom of speech, the right to vote), there are also responsibilities of citizenship (e.g. vote in elections, pay taxes, jury service)."
Civics and Citizenship,Rule of law,"The legal principle that decisions by government are made according to established principles and that all citizens are subject to the law and are equal before the law. Embedded within the rule of law is the idea that people accept and follow, but also change as needed, laws as agreed by the political process and upheld by independent courts."
Civics and Citizenship,Secular,"Relating to the world rather than religion; things that are not regarded as religious, spiritual or sacred. For example, a secular society is one governed by people's laws through parliament rather than by religious laws."
Civics and Citizenship,Separation of powers,"The acknowledged division between the executive, legislature (parliament) and judiciary. These separations act as checks and balances on each other to prevent excessive concentration of power in one group."
Civics and Citizenship,Statute (statutory law),"Written law (in the form of a bill) that has been passed through all stages by Parliament, has received the monarch's assent (or assent from the monarch's representative, such as the Governor-General or Governor) and has been proclaimed."
Civics and Citizenship,Westminster system,"The process of parliamentary government that evolved in England, based on a government from the democratically elected lower house; a mainly ceremonial sovereign/head of state; a head of government who commands a majority in the lower house parliament; an executive/cabinet composed of members of parliament; an independent civil service; and the rule of law based on an independent judiciary."
