Subject,Term,Definition
Media Arts,Narrative,"In Media Arts, narrative is used to describe fictional and non-fictional stories in all media forms."
Media Arts,Narrative conventions,"Narrative conventions create meaning in a media form or product. Common narrative conventions include character, character arcs and three-act structures."
Media Arts,Physical space,"An environment to exhibit, present or display artworks. Physical spaces can include galleries, environments where traditional media arts works (e.g. photographs and prints) and sound-based, moving-image and screen-based artworks are presented."
Media Arts,Place,"'Place' is significant for Aboriginal and Torres Strait Islander Peoples. For Torres Strait Islander Peoples, 'Place' is a space mapped out that Torres Strait Islander individuals or groups occupy and regard as their own and that has varying degrees of spirituality. It includes lands, waters and sky. For Aboriginal Peoples, 'Place' refers to the special places that exist within Country, the purposes of which vary significantly. They can include places of ceremony and initiation, birth and the provision of healing and health care; places of learning; and places for Sorry Business. These places vary greatly over the various landscapes and seascapes across the continent. There are some parts of Country that have landmarks that directly relate to the ancestor spirits and the creation of existence. These are especially important as culturally significant places and need to be cared for. There are also other places on Country that are important for ceremony, as mentioned above, which are also considered especially important for Aboriginal communities."
Media Arts,Practices,"The application of arts skills and knowledge to create, represent, communicate, make, produce and respond in a specific arts discipline, form, tradition, style and/or genre. In any arts discipline, the practices of making and responding are interdependent and interactive. For example, the practices of interpreting, analysing, comparing and contrasting, reflecting, evaluating and appreciating can inform the art-making process."
Media Arts,Processes,"The methods and steps used to make artworks using materials, tools and technologies."
Media Arts,Protocols,"Rules, practices and customs of a group. Respectful ways of interacting with and experiencing the arts, including protocols for protecting Indigenous Cultural and Intellectual Property (ICIP) rights."
Media Arts,Purposeful and creative play,"A context for learning through which children organise and make sense of their social worlds, as they engage actively with people, objects and representations."
Media Arts,Refine,"To bring together media concepts in a media arts work, particularly through the use of technical skill and processes using materials and techniques."
Media Arts,Region/regional,"An area of the world sharing common characteristics, for example a geographical region such as the Mallee region in Victoria or a regional intergovernmental organisation such as the Association of Southeast Asian Nations (ASEAN)."
Media Arts,Representation,"The construction of people, places, concepts, themes and events through stories in media narratives."
Media Arts,Resolve,A final step in the creation or production of a media arts work where the artist considers how to finalise the expression and representation of ideas using the media concepts and the media production process.
Media Arts,Sequence,A series of still and/or moving images with or without sound that are intentionally put into an order.
Media Arts,Social practices,"The use of art forms and symbolism in the habits and beliefs of a community or society such as celebrations, festivals, events and rituals."
Media Arts,Stimulus material,"Anything that acts as inspiration for generating or developing ideas for artworks, including the world of the student, images, experiences, observations, provocations, sounds and texts."
Media Arts,Story (media concept),A series of events that is structured by a plot and the conventions of the media form.
Media Arts,Story principles,"Selecting and organising the elements of structure, intent, characters, settings and points of view within the conventions of a genre."
Media Arts,Style,"The distinctive characteristics of an arts form, artwork or arts practice that allow them to be grouped into related categories, by culture, time, place or other contexts."
Media Arts,Symbolic codes,"Symbolic codes are a subset of media codes. Symbolic codes can include the language, dress and actions of characters or visual symbols such as colour, light and framing."
Media Arts,Technical codes,"Technical codes are a subset of media codes. Technical codes can include camera angles, lighting conditions, sound, setting and editing."
Media Arts,Techniques,"The knowledge and skills used in making an artwork in a specific art form using tools, technologies, media and materials."
Media Arts,Technologies,"In media arts, digital (e.g. hardware and software) and analog (e.g cameras, paper stock and film) technologies are used by media artists to create and produce media arts works. Technologies are also used to present media arts works using screens, projections and audio technologies."
Media Arts,Theme,"The principal idea or connection of ideas and concepts in a media arts work, product, series of artworks or exhibition."
Media Arts,Traditional Owners,The people recognised as having an unbroken connection to a particular Aboriginal or Torres Strait Islander Country or Place. They are often important knowledge keepers and responsible for caring for Country or Place and the people who live there.
Media Arts,Transdisciplinary,"The creation and production of artworks using more than one arts discipline. Across the Arts curriculum students can make artworks using the knowledge of the practices of various arts disciplines, for example, the creation of performance works using the knowledge and skills of music, drama and visual arts. Transdisciplinary artworks differ from interdisciplinary art forms and artworks as, similarly to multi-art forms and artworks, the use of transdisciplinary practices can evolve new art forms and practices. *See also:* interdisciplinary; multi-arts/multimedia"
Media Arts,Values,Ideas and beliefs specific to individuals and groups.
Media Arts,Viewers,"Individuals or groups of people who look at artworks in a range of settings (formal, informal, virtual or interactive). Social and cultural factors, and the context of where an artwork is presented can all alter the way viewers interpret and respond to artworks."
Media Arts,Viewpoints,"Viewpoints are an inquiry tool to consider ideas, concepts, practices and processes used to create artworks. Viewpoints allow students to investigate artworks and art practices from multiple perspectives."
Media Arts,Virtual,"Representation on a screen or ephemeral environment in contrast to physical existence. Virtual artworks are often sound-based, moving-image and time-based works. Virtual settings and exhibitions of artworks are the presentation or display of artworks online or on a screen creating a similar experience for the viewer or audience as if they were experiencing the work in a physical space. Virtual spaces/settings/exhibitions include sequenced presentations of artworks, websites, virtual galleries, video works and projections."
Media Arts,Virtual reality,Technology that allows a person to interact with a computer-simulated environment based on a real or imagined place.
