Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Levels 7 and 8,VC2ADR8C02,VCADRD035,"Plan, structure and rehearse drama, exploring ways to communicate and refine dramatic meaning",Refined,Introduced ‘design areas’ to align with senior secondary
Levels 7 and 8,VC2ADR8P01,VCADRP037,"Perform devised and scripted drama using a range of performance styles, maintaining commitment to role and applying stagecraft",Refined,Rehearsal process moved to this content description
Levels 7 and 8,VC2ADR8P01,VCADRD035,"Plan, structure and rehearse drama, exploring ways to communicate and refine dramatic meaning",Refined,Rehearsal process moved to this content description
Levels 9 and 10,VC2ADR10E01,VCADRR045,"Evaluate how the elements of drama, forms and performance styles in devised and scripted drama to convey meaning and aesthetic effect",Refined,Further focus on exploration and process
Levels 9 and 10,VC2ADR10E01,VCADRR046,"Analyse a range of drama from contemporary and past times, including the drama of Aboriginal and Torres Strait Islander peoples to explore differing viewpoints and develop understanding of drama practice across local, national and international contexts",Refined,Further focus on exploration and process
Levels 9 and 10,VC2ADR10E02,VCADRR045,"Evaluate how the elements of drama, forms and performance styles in devised and scripted drama to convey meaning and aesthetic effect",Refined,"Refined to focus on Australian identity in drama, including Aboriginal and Torres Strait Islander drama"
Levels 9 and 10,VC2ADR10E02,VCADRR046,"Analyse a range of drama from contemporary and past times, including the drama of Aboriginal and Torres Strait Islander peoples to explore differing viewpoints and develop understanding of drama practice across local, national and international contexts",Refined,"Refined to focus on Australian identity in drama, including Aboriginal and Torres Strait Islander drama"
Levels 9 and 10,VC2ADR10D01,VCADRD042,"Practise and refine the expressive capacity of voice and movement to communicate ideas and dramatic action in a range of forms, styles and performances spaces",Updated,"Language updated to provide pathway to VCE studies, and realigned across bands"
Levels 9 and 10,VC2ADR10D02,VCADRE040,"Improvise with the elements of drama and narrative structure to develop ideas, and explore subtext to shape devised and scripted drama",Refined,"Refined due to the addition of the documentation process, and realignment of the strands"
Levels 9 and 10,VC2ADR10D02,VCADRE041,Manipulate combinations of the elements of drama to develop and convey the physical and psychological aspects of roles and characters consistent with intentions in dramatic forms and performance styles,Refined,"Refined due to the addition of the documentation process, and realignment of the strands"
Levels 9 and 10,VC2ADR10C01,VCADRE040,"Improvise with the elements of drama and narrative structure to develop ideas, and explore subtext to shape devised and scripted drama",Updated,Updated language to provide pathway to VCE studies
Levels 9 and 10,VC2ADR10C01,VCADRE041,Manipulate combinations of the elements of drama to develop and convey the physical and psychological aspects of roles and characters consistent with intentions in dramatic forms and performance styles,Updated,Updated language to provide pathway to VCE studies
Levels 9 and 10,VC2ADR10C01,VCADRD043,"Structure drama to engage an audience through manipulation of dramatic action, forms and performance styles and by using design elements",Updated,Updated language to provide pathway to VCE studies
Levels 9 and 10,VC2ADR10C02,VCADRE040,"Improvise with the elements of drama and narrative structure to develop ideas, and explore subtext to shape devised and scripted drama",Refined,Introduction of design areas to align with VCE studies
Levels 9 and 10,VC2ADR10C02,VCADRE041,Manipulate combinations of the elements of drama to develop and convey the physical and psychological aspects of roles and characters consistent with intentions in dramatic forms and performance styles,Refined,Introduction of design areas to align with VCE studies
Levels 9 and 10,VC2ADR10C02,VCADRD043,"Structure drama to engage an audience through manipulation of dramatic action, forms and performance styles and by using design elements",Refined,Introduction of design areas to align with VCE studies
Levels 9 and 10,VC2ADR10P01,VCADRP044,Perform devised and scripted drama making deliberate artistic choices and shaping design elements to unify dramatic meaning for an audience,Updated,Updated language to provide pathway to VCE Drama and VCE Theatre Studies
